Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
Klebsiella_pneumoniae_ATCC_BAA_2789	O1/O2v2	O2afg	Very high		100.00%	98.38%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL13_03_rfbD,98.99%;OL13_02_rfbA,98.276%;OL13_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_2790	O1/O2v2	O2afg	Very high		100.00%	98.48%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.74%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_2814	O1/O2v2	O2afg	Very high		100.00%	98.37%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.125%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL13_03_rfbD,98.99%;OL13_02_rfbA,98.276%;OL13_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_3060	O3/O3a	O3/O3a	Very high	*	100.00%	95.38%	0 bp	8 / 8 (100%)	O3/O3a_01_manC,99.788%;O3/O3a_02_manB,99.783%;O3/O3a_03_wzm,98.473%;O3/O3a_04_wzt,98.38%;O3/O3a_05_wbdD,94.64%;O3/O3a_06_wbdA,97.265%;O3/O3a_07_wbdB,99.215%;O3/O3a_08_wbdC,100.0%		0		0 / 8 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_3061	O1/O2v2	O2afg	Very high		100.00%	98.38%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL13_03_rfbD,98.99%;OL13_02_rfbA,98.276%;OL13_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_3062	O1/O2v1	O1ab	Very high		100.00%	98.03%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.19%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.961%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,99.471%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,99.865%;O12_01_rfbB,98.028%;OL13_03_rfbD,98.653%;OL13_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,99.259%;O12_04_rfbC,97.297%
Klebsiella_pneumoniae_ATCC_BAA_3063	O1/O2v1	O1ab	Very high		100.00%	98.52%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,99.221%;O1/O2v1_05_wbbN,98.322%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.576%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
Klebsiella_pneumoniae_ATCC_BAA_3064	O1/O2v1	O1ab	High	-	100.00%	98.03%	+775 bp	6 / 7 (85.7%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.19%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.961%;O1/O2v1_06_wbbO,99.471%;O1/O2v1_07_kfoC,96.811%	O1/O2v1_05_wbbN	0		0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,99.865%;O12_01_rfbB,98.028%;OL13_03_rfbD,98.653%;OL13_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,99.259%;O12_04_rfbC,97.297%
Klebsiella_pneumoniae_ATCC_BAA_3065	O1/O2v1	O2a	Very high		100.00%	98.51%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.961%;O1/O2v1_05_wbbN,98.322%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		2	O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%
Klebsiella_pneumoniae_ATCC_BAA_3066	O1/O2v1	O2a	Very high		100.00%	98.64%	+1066 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,99.209%;O1/O2v1_04_glf,97.922%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,98.017%;O1/O2v1_07_kfoC,99.544%		0		0 / 7 (0%)		6	O3b_01_manC,100.0%;O3/O3a_02_manB,98.681%;O12_01_rfbB,97.746%;OL13_03_rfbD,98.653%;OL13_02_rfbA,96.875%;O12_04_rfbC,96.757%
Klebsiella_pneumoniae_ATCC_BAA_3067	O1/O2v1	O2a	Very high		100.00%	98.64%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,99.209%;O1/O2v1_04_glf,97.922%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,99.544%		0		0 / 7 (0%)		6	O3b_01_manC,100.0%;O3/O3a_02_manB,98.681%;O12_01_rfbB,97.746%;OL13_03_rfbD,98.653%;OL13_02_rfbA,96.875%;O12_04_rfbC,96.757%
Klebsiella_pneumoniae_ATCC_BAA_3068	O1/O2v2	O1ab	Very high		100.00%	98.97%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.842%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,97.651%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.256%;O1/O2v2_08_gmlC,98.768%;O1/O2v2_09_gmlB,99.083%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3/O3a_01_manC,99.576%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,99.63%
Klebsiella_pneumoniae_ATCC_BAA_3069	O1/O2v2	O2afg	Very high		100.00%	98.48%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.74%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_3070	O3/O3a	O3/O3a	Very high		100.00%	95.98%	+1 bp	8 / 8 (100%)	O3/O3a_01_manC,100.0%;O3/O3a_02_manB,100.0%;O3/O3a_03_wzm,98.473%;O3/O3a_04_wzt,99.074%;O3/O3a_05_wbdD,95.628%;O3/O3a_06_wbdA,97.741%;O3/O3a_07_wbdB,99.738%;O3/O3a_08_wbdC,99.194%		0		0 / 8 (0%)		4	O12_01_rfbB,98.028%;O12_03_rfbD,98.99%;OL13_02_rfbA,97.222%;O12_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_3071	OL13	O13	High	*	100.00%	94.97%	-15 bp	9 / 9 (100%)	OL13_01_rfbB,96.901%;OL13_02_rfbA,97.917%;OL13_03_rfbD,98.653%;OL13_04_rfbC,96.757%;OL13_05_wbbL,98.917%;OL13_06_wzm,98.921%;OL13_07_wzt,99.324%;OL13_08_wbbB,95.711%;OL13_09_glycosylhydrolase,92.692%		0		0 / 9 (0%)		4	O12_01_rfbB,97.746%;OL13_03_rfbD,98.653%;OL13_02_rfbA,97.917%;O12_04_rfbC,96.757%
Klebsiella_pneumoniae_ATCC_BAA_3072	O1/O2v1	O1ab	High	-	100.00%	99.98%	+1200 bp	6 / 7 (85.7%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_07_kfoC,100.0%	O1/O2v1_06_wbbO	0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
Klebsiella_pneumoniae_ATCC_BAA_3073	O1/O2v2	O1ab	Very high		100.00%	98.51%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,99.221%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.947%;O1/O2v2_09_gmlB,98.471%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;OL104_01_manC,91.314%;O3/O3a_02_manB,92.967%;Extra_genes_wbbZ_01_wbbZ,99.259%
Klebsiella_pneumoniae_ATCC_BAA_3074	OL13	O13	High	-	100.00%	95.00%	+1183 bp	7 / 9 (77.8%)	OL13_01_rfbB,96.901%;OL13_02_rfbA,97.569%;OL13_03_rfbD,98.316%;OL13_04_rfbC,97.297%;OL13_06_wzm,98.921%;OL13_07_wzt,99.099%;OL13_08_wbbB,95.711%	OL13_05_wbbL;OL13_09_glycosylhydrolase	0		0 / 9 (0%)		4	O12_01_rfbB,98.028%;OL13_03_rfbD,98.316%;OL13_02_rfbA,97.222%;O12_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_3075	O5	O5	High		100.00%	94.69%	+1 bp	8 / 8 (100%)	O5_01_manC,99.576%;O5_02_manB,99.564%;O5_03_wzm,99.623%;O5_04_wzt,99.012%;O5_05_wbdD,96.244%;O5_06_wbdA,95.14%;O5_07_wbdB,99.741%;O5_08_wbdC,99.731%		0		0 / 8 (0%)		6	O3/O3a_01_manC,99.576%;O3/O3a_02_manB,98.462%;O12_01_rfbB,98.592%;OL13_03_rfbD,97.643%;OL13_02_rfbA,98.276%;O12_04_rfbC,98.378%
Klebsiella_pneumoniae_ATCC_BAA_3076	O1/O2v2	O2afg	Very high		100.00%	98.48%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.74%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_3077	O1/O2v1	O1ab	Very high		100.00%	98.02%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.19%;O1/O2v1_03_wbbM,99.209%;O1/O2v1_04_glf,98.961%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,99.471%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,99.865%;O12_01_rfbB,98.028%;OL13_03_rfbD,98.653%;OL13_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,98.889%;O12_04_rfbC,97.297%
Klebsiella_pneumoniae_ATCC_BAA_3078	O3b	O3b	Very high		100.00%	99.19%	0 bp	8 / 8 (100%)	O3b_01_manC,100.0%;O3b_02_manB,99.566%;O3b_03_wzm,99.237%;O3b_04_wzt,99.537%;O3b_05_wbdD,99.854%;O3b_06_wbdA,99.762%;O3b_07_wbdB,99.476%;O3b_08_wbdC,100.0%		0		0 / 8 (0%)		2	O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%
Klebsiella_pneumoniae_ATCC_BAA_3079	O1/O2v1	O2a	Very high		100.00%	98.64%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,99.209%;O1/O2v1_04_glf,97.922%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,99.544%		0		0 / 7 (0%)		6	O3b_01_manC,100.0%;O3/O3a_02_manB,98.681%;O12_01_rfbB,97.746%;OL13_03_rfbD,98.653%;OL13_02_rfbA,96.875%;O12_04_rfbC,96.757%
Klebsiella_pneumoniae_subsp_ozaenae_ATCC_11296	O1/O2v1	unknown (O1/O2v1)	Very high		100.00%	98.41%	-1 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.19%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.701%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,98.405%		0		0 / 7 (0%)		5	Extra_genes_wbmVW_02_wbmW,99.18%;O3b_01_manC,99.364%;O3/O3a_02_manB,99.123%;Extra_genes_wbmVW_01_wbmV,99.526%;Extra_genes_wbbZ_01_wbbZ,99.259%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_10031	O1/O2v1	O2a	Very high		100.00%	98.45%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,99.481%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		2	O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_10273	O1/O2v1	O1ab	Very high		100.00%	98.28%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,99.609%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,98.576%;O1/O2v1_04_glf,98.182%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,99.317%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3/O3a_01_manC,98.517%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,99.63%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_10872	O1/O2v1	O2a	Very high		100.00%	98.44%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,99.221%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		2	O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_12657	O1/O2v2	O1ab	Very high		100.00%	99.15%	-2 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.842%;O1/O2v2_04_glf,99.221%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,100.0%;O1/O2v2_07_kfoC,98.263%;O1/O2v2_08_gmlC,97.947%;O1/O2v2_09_gmlB,99.694%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3/O3a_01_manC,99.364%;O3/O3a_02_manB,98.684%;Extra_genes_wbbZ_01_wbbZ,99.259%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_132	O1/O2v1	O1ab	Very high		100.00%	98.46%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,99.481%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_13882	O1/O2v1	O1ab	Very high		100.00%	98.65%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,97.922%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,99.772%		0		0 / 7 (0%)		8	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.681%;O12_01_rfbB,97.746%;OL13_03_rfbD,98.653%;OL13_02_rfbA,97.222%;Extra_genes_wbbZ_01_wbbZ,99.259%;O12_04_rfbC,96.757%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_13883	O1/O2v1	O1ab	Very high		100.00%	98.28%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,99.609%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,98.576%;O1/O2v1_04_glf,98.182%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,99.317%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3/O3a_01_manC,98.517%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,99.63%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_13886	O1/O2v1	O1ab	Very high		100.00%	98.59%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.701%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,98.677%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.576%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,98.889%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_15380	O1/O2v2	O1ab	Very high		100.00%	98.98%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,100.0%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,97.651%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.256%;O1/O2v2_08_gmlC,98.768%;O1/O2v2_09_gmlB,98.777%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3/O3a_01_manC,99.576%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,99.63%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_211	O1/O2v1	unknown (O1/O2v1)	Very high		100.00%	98.18%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.19%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,98.182%;O1/O2v1_05_wbbN,97.987%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,98.405%		0		0 / 7 (0%)		3	O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.259%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_21215	O3/O3a	O3/O3a	Very high		100.00%	99.34%	0 bp	8 / 8 (100%)	O3/O3a_01_manC,100.0%;O3/O3a_02_manB,100.0%;O3/O3a_03_wzm,100.0%;O3/O3a_04_wzt,100.0%;O3/O3a_05_wbdD,99.154%;O3/O3a_06_wbdA,99.881%;O3/O3a_07_wbdB,99.738%;O3/O3a_08_wbdC,100.0%		0		0 / 8 (0%)		2	O3/O3a_01_manC,100.0%;O3/O3a_02_manB,99.123%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_23356	O1/O2v2	O1ab	Very high		100.00%	98.53%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.221%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.741%;O1/O2v2_09_gmlB,98.777%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.595%;OL104_01_manC,91.314%;O3/O3a_02_manB,92.967%;Extra_genes_wbbZ_01_wbbZ,99.63%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_23357	O1/O2v1	O2a	Very high		100.00%	98.66%	-1 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,99.842%;O1/O2v1_04_glf,99.481%;O1/O2v1_05_wbbN,97.651%;O1/O2v1_06_wbbO,97.619%;O1/O2v1_07_kfoC,99.544%		0		0 / 7 (0%)		0	
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_25955	O1/O2v2	O1ab	Very high		100.00%	99.39%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.525%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.504%;O1/O2v2_08_gmlC,99.795%;O1/O2v2_09_gmlB,100.0%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.259%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_27736	O1/O2v2	O2afg	Very high		100.00%	99.38%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.367%;O1/O2v2_04_glf,98.701%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.256%;O1/O2v2_08_gmlC,100.0%;O1/O2v2_09_gmlB,100.0%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		2	O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_27799	O1/O2v1	O1ab	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_29013	O3/O3a	O3/O3a	Very high		100.00%	99.36%	0 bp	8 / 8 (100%)	O3/O3a_01_manC,100.0%;O3/O3a_02_manB,100.0%;O3/O3a_03_wzm,100.0%;O3/O3a_04_wzt,100.0%;O3/O3a_05_wbdD,99.295%;O3/O3a_06_wbdA,99.881%;O3/O3a_07_wbdB,100.0%;O3/O3a_08_wbdC,100.0%		0		0 / 8 (0%)		4	O12_01_rfbB,98.028%;OL13_03_rfbD,99.327%;OL13_02_rfbA,100.0%;O12_04_rfbC,97.838%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_29665	O1/O2v2	O1ab	Very high		100.00%	98.98%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,100.0%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,97.651%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.256%;O1/O2v2_08_gmlC,98.768%;O1/O2v2_09_gmlB,98.777%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3/O3a_01_manC,99.576%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,99.63%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_31311	O5	O5	Very high		100.00%	99.50%	-12 bp	8 / 8 (100%)	O5_01_manC,99.788%;O5_02_manB,99.782%;O5_03_wzm,99.623%;O5_04_wzt,100.0%;O5_05_wbdD,100.0%;O5_06_wbdA,99.753%;O5_07_wbdB,99.482%;O5_08_wbdC,98.925%		0		0 / 8 (0%)		2	O3/O3a_01_manC,100.0%;O3/O3a_02_manB,99.123%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_31646	O5	O5	Very high		100.00%	99.57%	0 bp	8 / 8 (100%)	O5_01_manC,99.364%;O5_02_manB,99.564%;O5_03_wzm,99.623%;O5_04_wzt,100.0%;O5_05_wbdD,100.0%;O5_06_wbdA,99.588%;O5_07_wbdB,99.482%;O5_08_wbdC,100.0%		0		0 / 8 (0%)		2	O3/O3a_01_manC,99.576%;O3/O3a_02_manB,99.123%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_33495	O1/O2v1	O1ab	Very high		100.00%	98.11%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.051%;O1/O2v1_04_glf,98.442%;O1/O2v1_05_wbbN,99.664%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3/O3a_01_manC,100.0%;O3/O3a_02_manB,98.684%;Extra_genes_wbbZ_01_wbbZ,99.259%
