Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_25955	KL28	K28	High	-	100.00%	99.02%	+1201 bp	18 / 19 (94.7%)	KL28_01_galF,100.0%;KL28_02_cpsACP,100.0%;KL28_03_wzi,97.699%;KL28_04_wza,99.737%;KL28_05_wzb,100.0%;KL28_06_wzc,100.0%;KL28_07_wckC,100.0%;KL28_08_wcuC,100.0%;KL28_09_wckD,100.0%;KL28_10_wzy,100.0%;KL28_11_wclS,99.468%;KL28_12_wcuE,100.0%;KL28_13_wzx,99.765%;KL28_14_wbaZ,100.0%;KL28_16_gnd,100.0%;KL28_17_manC,99.788%;KL28_18_manB,99.781%;KL28_19_ugd,99.229%	KL28_15_wcaJ	0		0 / 19 (0%)		4	KL40_03_wcpO,97.571%;KL40_04,99.007%;KL40_05_rfaG,99.475%;KL150_19_gmd,99.104%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_27736	KL30	K30	High	-*	100.00%	96.54%	+1066 bp	19 / 20 (95%)	KL30_01_galF,100.0%;KL30_02_cpsACP,99.524%;KL30_03_wzi,99.604%;KL30_04_wza,100.0%;KL30_05_wzb,98.611%;KL30_06_wzc,99.448%;KL30_07_wcuL,100.0%;KL30_08_wzx,99.743%;KL30_09_wcuD,96.883%;KL30_10_wzy,92.694%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,92.188%;KL30_14,93.993%;KL30_16_wcaJ,98.069%;KL30_17_gnd,99.36%;KL30_18_manC,99.364%;KL30_19_manB,99.787%;KL30_20_ugd,99.486%	KL30_15_wcuG	0		0 / 20 (0%)		4	KL40_03_wcpO,97.773%;KL40_04,98.759%;KL40_05_rfaG,99.475%;KL150_19_gmd,99.104%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_27799	KL2	K2	High	-	100.00%	99.74%	+1339 bp	17 / 18 (94.4%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_14_wcaJ,99.571%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%	KL2_13	0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_29013	KL9	K9	Very high	*	100.00%	96.65%	-3 bp	19 / 19 (100%)	KL9_01_galF,99.666%;KL9_02_cpsACP,94.762%;KL9_03_wzi,99.406%;KL9_04_wza,100.0%;KL9_05_wzb,100.0%;KL9_06_wzc,99.861%;KL9_07_wbaP,99.37%;KL9_08,99.01%;KL9_09,99.042%;KL9_10,98.977%;KL9_11,98.621%;KL9_12,99.309%;KL9_13_wzx,99.05%;KL9_14_gnd,99.574%;KL9_15_rmlB,99.155%;KL9_16_rmlA,97.917%;KL9_17_rmlD,98.653%;KL9_18_rmlC,98.919%;KL9_19_ugd,100.0%		0		0 / 19 (0%)		3	KL49_17_manC,100.0%;KL30_19_manB,99.145%;KL150_19_gmd,98.209%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_29665	KL2	K2	Very high		100.00%	98.40%	+1 bp	18 / 18 (100%)	KL2_01_galF,99.331%;KL2_02_cpsACP,99.048%;KL2_03_wzi,98.614%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,98.971%;KL2_12,99.483%;KL2_13,99.103%;KL2_14_wcaJ,99.785%;KL2_15_gnd,98.934%;KL2_16_manC,99.364%;KL2_17_manB,99.781%;KL2_18_ugd,100.0%		0		0 / 18 (0%)		4	KL40_03_wcpO,97.976%;KL40_04,99.752%;KL40_05_rfaG,99.213%;KL150_19_gmd,98.209%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_31311	KL16	K16	Very high	*	100.00%	97.26%	+43 bp	22 / 22 (100%)	KL16_01_galF,99.666%;KL16_02_cpsACP,93.81%;KL16_03_wzi,99.582%;KL16_04_wza,100.0%;KL16_05_wzb,100.0%;KL16_06_wzc,99.024%;KL16_07_wzx,99.505%;KL16_08_wzy,99.085%;KL16_09_gtf1,98.408%;KL16_10_vatD,98.901%;KL16_11_lacA,99.457%;KL16_12_sunS,98.706%;KL16_13_gmd,99.732%;KL16_14_fcl,99.69%;KL16_15_gmm,99.346%;KL16_16,99.012%;KL16_17_wcaJ,100.0%;KL16_18_gnd,99.787%;KL16_19,94.487%;KL16_20_manC,99.576%;KL16_21_manB,99.781%;KL16_22_ugd,100.0%		0		0 / 22 (0%)		3	KL49_17_manC,100.0%;KL30_19_manB,99.143%;KL150_19_gmd,98.507%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_31646	KL63	K63	Very high		100.00%	95.97%	-3 bp	20 / 20 (100%)	KL63_01_galF,98.997%;KL63_02_cpsACP,95.714%;KL63_03_wzi,98.614%;KL63_04_wza,99.471%;KL63_05_wzb,99.32%;KL63_06_wzc,99.03%;KL63_07_wbaP,98.312%;KL63_08_wcsD,96.335%;KL63_09_wzx,97.549%;KL63_10_wzy,97.907%;KL63_11_wcsE,96.676%;KL63_12_gmd,100.0%;KL63_13_wcaG,97.826%;KL63_14,95.973%;KL63_15_wcaI,97.555%;KL63_16,96.501%;KL63_17_gnd,99.584%;KL63_18_manC,97.881%;KL63_19_manB,99.562%;KL63_20_ugd,99.743%		0		0 / 20 (0%)		3	KL21_17_manC,99.576%;KL30_19_manB,98.929%;KL150_19_gmd,84.685%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_33495	KL5	K5	High	-	100.00%	99.96%	+1338 bp	18 / 19 (94.7%)	KL5_01_galF,100.0%;KL5_02_cpsACP,100.0%;KL5_03_wzi,99.802%;KL5_04_wza,100.0%;KL5_06_wzc,99.723%;KL5_07,100.0%;KL5_08_wzx,100.0%;KL5_09,100.0%;KL5_10,100.0%;KL5_11,100.0%;KL5_12,100.0%;KL5_13,100.0%;KL5_14,100.0%;KL5_15_wcaJ,100.0%;KL5_16_gnd,99.787%;KL5_17_manC,100.0%;KL5_18_manB,100.0%;KL5_19_ugd,99.743%	KL5_05_wzb	0		0 / 19 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,99.104%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_35593	KL1	K1	Good	?-	100.00%	99.49%	n/a	19 / 20 (95%)	KL1_01_galF,99.331%;KL1_02_cpsACP,96.667%;KL1_03_wzi,99.582%;KL1_04_wza,100.0%;KL1_05_wzb,100.0%;KL1_07_wzx,99.767%;KL1_08_wclY,99.72%;KL1_09_wzy,100.0%;KL1_10_wcsS,99.728%;KL1_11_wcsT,99.415%;KL1_12_gmd,100.0%;KL1_13_wcaG,99.424%;KL1_14_wcaH,100.0%;KL1_15_wcaI,99.753%;KL1_16_wcaJ,99.359%;KL1_17_gnd,100.0%;KL1_18_manC,100.0%;KL1_19_manB,99.781%;KL1_20_ugd,100.0%	KL1_06_wzc	0		0 / 20 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,99.403%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_35657	KL64	K64	Very high		100.00%	99.90%	0 bp	24 / 24 (100%)	KL64_01_galF,100.0%;KL64_02_cpsACP,100.0%;KL64_03_wzi,100.0%;KL64_04_wza,100.0%;KL64_05_wzb,100.0%;KL64_06_wzc,99.862%;KL64_07_wzx,99.803%;KL64_08_wcoV,100.0%;KL64_09,100.0%;KL64_10_wzy,100.0%;KL64_11_wcoU,99.693%;KL64_12_wcoT,99.71%;KL64_13_wcsF,99.733%;KL64_14_wcuK,100.0%;KL64_15_wbaZ,99.74%;KL64_16_wcaJ,100.0%;KL64_17_gnd,100.0%;KL64_18_manC,100.0%;KL64_19_manB,100.0%;KL64_20_rmlB,100.0%;KL64_21_rmlA,99.655%;KL64_22_rmlD,100.0%;KL64_23_rmlC,100.0%;KL64_24_ugd,100.0%		0		0 / 24 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,98.806%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_4208	KL1	K1	Very high		100.00%	99.48%	-1 bp	20 / 20 (100%)	KL1_01_galF,99.331%;KL1_02_cpsACP,96.667%;KL1_03_wzi,99.582%;KL1_04_wza,100.0%;KL1_05_wzb,100.0%;KL1_06_wzc,98.172%;KL1_07_wzx,99.767%;KL1_08_wclY,99.72%;KL1_09_wzy,100.0%;KL1_10_wcsS,99.728%;KL1_11_wcsT,99.415%;KL1_12_gmd,100.0%;KL1_13_wcaG,99.424%;KL1_14_wcaH,100.0%;KL1_15_wcaI,99.753%;KL1_16_wcaJ,99.359%;KL1_17_gnd,100.0%;KL1_18_manC,100.0%;KL1_19_manB,99.781%;KL1_20_ugd,100.0%		0		0 / 20 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,99.403%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_4209	KL2	K2	High	-	100.00%	99.94%	+778 bp	17 / 18 (94.4%)	KL2_01_galF,100.0%;KL2_02_cpsACP,99.524%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.862%;KL2_07,100.0%;KL2_08,100.0%;KL2_09,100.0%;KL2_10,100.0%;KL2_11_wzx,100.0%;KL2_12,99.483%;KL2_13,100.0%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,100.0%	KL2_14_wcaJ	0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,99.701%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_43816	KL2	K2	Very high		100.00%	99.72%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,99.524%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,99.31%;KL2_06_wzc,99.723%;KL2_07,99.443%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.383%;KL2_12,99.138%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,100.0%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_49472	KL30	K30	Very high	*	100.00%	96.46%	0 bp	20 / 20 (100%)	KL30_01_galF,100.0%;KL30_02_cpsACP,99.048%;KL30_03_wzi,99.604%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.448%;KL30_07_wcuL,100.0%;KL30_08_wzx,100.0%;KL30_09_wcuD,97.143%;KL30_10_wzy,92.922%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,92.188%;KL30_14,94.17%;KL30_15_wcuG,91.549%;KL30_16_wcaJ,98.069%;KL30_17_gnd,99.36%;KL30_18_manC,99.364%;KL30_19_manB,100.0%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		4	KL40_03_wcpO,97.773%;KL40_04,99.256%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.507%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_51503	KL28	K28	Very high		100.00%	99.17%	+1 bp	19 / 19 (100%)	KL28_01_galF,100.0%;KL28_02_cpsACP,100.0%;KL28_03_wzi,97.699%;KL28_04_wza,99.737%;KL28_05_wzb,100.0%;KL28_06_wzc,100.0%;KL28_07_wckC,100.0%;KL28_08_wcuC,100.0%;KL28_09_wckD,100.0%;KL28_10_wzy,100.0%;KL28_11_wclS,99.202%;KL28_12_wcuE,100.0%;KL28_13_wzx,99.765%;KL28_14_wbaZ,100.0%;KL28_15_wcaJ,100.0%;KL28_16_gnd,100.0%;KL28_17_manC,99.788%;KL28_18_manB,99.781%;KL28_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_03_wcpO,98.785%;KL40_04,99.504%;KL40_05_rfaG,99.475%;KL150_19_gmd,99.104%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_51504	KL7	K7	Very high		100.00%	98.53%	+2 bp	20 / 20 (100%)	KL7_01_galF,99.331%;KL7_02_cpsACP,98.095%;KL7_03_wzi,99.791%;KL7_04_wza,99.472%;KL7_05_wzb,99.31%;KL7_06_wzc,99.723%;KL7_07_wcuE,100.0%;KL7_08_wckC,98.758%;KL7_09_wcuC,99.422%;KL7_10_wzy,99.745%;KL7_11_wckD,99.725%;KL7_12_wclS,99.723%;KL7_13_wcuJ,100.0%;KL7_14_wzx,99.172%;KL7_15_wbaZ,100.0%;KL7_16_wcaJ,99.571%;KL7_17_gnd,99.574%;KL7_18_manC,99.576%;KL7_19_manB,99.562%;KL7_20_ugd,99.743%		0		0 / 20 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,98.507%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_700721	KL107	unknown (KL107)	None	?-+*	84.41%	86.04%	n/a	10 / 16 (62.5%)	KL107_01_galF,98.997%;KL107_02_cpsACP,100.0%;KL107_03_wzi,97.49%;KL107_04_wza,94.933%;KL107_11_gnd,96.375%;KL107_12,94.648%;KL107_13,98.264%;KL107_14,98.99%;KL107_15,97.838%;KL107_16_ugd,99.486%	KL107_05_wzb;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10	3	KL52_06_wzc,100.0%;KL52_07_wbaP,100.0%;KL52_05_wzb,100.0%	0 / 16 (0%)		6	KL52_16_wzx,100.0%;KL109_18_rmlB,99.437%;KL150_19_gmd,98.507%;KL52_20_rmlD,99.357%;KL17_17_rmlA,100.0%;KL12_22_rmlC,99.459%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_BAA_2470	KL105	unknown (KL105)	High	-	100.00%	99.98%	-1 bp	21 / 22 (95.5%)	KL105_01_galF,100.0%;KL105_02_cpsACP,100.0%;KL105_03_wzi,100.0%;KL105_04_wza,100.0%;KL105_05_wzb,100.0%;KL105_06_wzc,99.861%;KL105_07_wbaP,100.0%;KL105_08,100.0%;KL105_09,100.0%;KL105_10_wcaN,100.0%;KL105_12,100.0%;KL105_13,100.0%;KL105_14_wzx,100.0%;KL105_15,100.0%;KL105_16,100.0%;KL105_17_gnd,100.0%;KL105_18_rmlB,100.0%;KL105_19,100.0%;KL105_20,100.0%;KL105_21,100.0%;KL105_22_ugd,100.0%	KL105_11	0		0 / 22 (0%)		4	KL40_03_wcpO,98.785%;KL40_04,99.504%;KL40_05_rfaG,99.475%;KL150_19_gmd,99.104%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_BAA_2472	KL2	K2	High	-	100.00%	99.73%	0 bp	17 / 18 (94.4%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.585%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.588%;KL2_12,99.31%;KL2_13,99.552%;KL2_15_gnd,99.574%;KL2_16_manC,99.788%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%	KL2_14_wcaJ	0		0 / 18 (0%)		1	KL150_19_gmd,100.0%
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_BAA_2524	KL52	K52	Very high		100.00%	99.90%	-4 bp	22 / 22 (100%)	KL52_01_galF,100.0%;KL52_02_cpsACP,100.0%;KL52_03_wzi,100.0%;KL52_04_wza,100.0%;KL52_05_wzb,100.0%;KL52_06_wzc,100.0%;KL52_07_wbaP,100.0%;KL52_08_rfbN,100.0%;KL52_09_wcoY,100.0%;KL52_10_wcoX,99.674%;KL52_11_wcuS,100.0%;KL52_12_wcaN,100.0%;KL52_13_wzy,100.0%;KL52_14,100.0%;KL52_15_wcpG,98.529%;KL52_16_wzx,100.0%;KL52_17_gnd,100.0%;KL52_18_rmlB,99.718%;KL52_19_rmlA,100.0%;KL52_20_rmlD,99.678%;KL52_21_rmlC,100.0%;KL52_22_ugd,100.0%		0		0 / 22 (0%)		5	KL109_18_rmlB,99.437%;KL150_19_gmd,98.209%;KL52_20_rmlD,99.678%;KL17_17_rmlA,100.0%;KL12_22_rmlC,99.459%
Klebsiella_pneumoniae_subsp_rhinoscleromatis_ATCC_13884	KL3	K3	Very high		100.00%	99.49%	+1324 bp	19 / 19 (100%)	KL3_01_galF,100.0%;KL3_02_cpsACP,96.97%;KL3_03_wzi,99.792%;KL3_04_wza,100.0%;KL3_05_wzb,97.931%;KL3_06_wzc,98.893%;KL3_07_wcaJ,99.79%;KL3_08,100.0%;KL3_09,99.115%;KL3_10_pglJ,99.718%;KL3_11,99.728%;KL3_12,99.483%;KL3_13_wzx,99.16%;KL3_14,99.267%;KL3_15_wbaZ,100.0%;KL3_16_gnd,99.795%;KL3_17_manC,99.576%;KL3_18_manB,99.562%;KL3_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_04,99.504%;KL40_05_rfaG,99.475%;KL150_19_gmd,98.209%;KL150_19_gmd,84.685%
Klebsiella_pneumoniae_subsp_rhinoscleromatis_ATCC_9436	KL3	K3	Very high		100.00%	99.50%	+1324 bp	19 / 19 (100%)	KL3_01_galF,100.0%;KL3_02_cpsACP,96.97%;KL3_03_wzi,99.792%;KL3_04_wza,100.0%;KL3_05_wzb,97.931%;KL3_06_wzc,98.893%;KL3_07_wcaJ,99.79%;KL3_08,100.0%;KL3_09,99.115%;KL3_10_pglJ,99.718%;KL3_11,99.728%;KL3_12,99.483%;KL3_13_wzx,99.16%;KL3_14,99.511%;KL3_15_wbaZ,100.0%;KL3_16_gnd,99.795%;KL3_17_manC,99.576%;KL3_18_manB,99.562%;KL3_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_04,99.504%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.209%;KL150_19_gmd,84.685%
Klebsiella_quasipneumoniae_ATCC_700603	KL53	K53	Very high		100.00%	98.37%	-1 bp	23 / 23 (100%)	KL53_01_galF,100.0%;KL53_02_cpsACP,97.143%;KL53_03_wzi,99.375%;KL53_04_wza,100.0%;KL53_05_wzb,100.0%;KL53_06_wzc,99.861%;KL53_07_wbaP,99.79%;KL53_08_wcuE,99.693%;KL53_09_wcuK,100.0%;KL53_10_wzy,100.0%;KL53_11_wbaZ,100.0%;KL53_12_wclH,99.724%;KL53_13_wckZ,99.379%;KL53_14_wcuT,99.308%;KL53_15_wzx,100.0%;KL53_16_gnd,99.574%;KL53_17_manC,100.0%;KL53_18_manB,99.125%;KL53_19_rmlB,99.437%;KL53_20_rmlA,100.0%;KL53_21_rmlD,99.663%;KL53_22_rmlC,99.459%;KL53_23_ugd,99.486%		0		0 / 23 (0%)		3	KL14_19_manC,100.0%;KL30_19_manB,98.92%;KL150_19_gmd,97.612%
Klebsiella_quasivariicola_ATCC_TSD_144	KL153	unknown (KL153)	Very high		100.00%	99.90%	+1 bp	20 / 20 (100%)	KL153_01_galF,100.0%;KL153_02_cpsACP,99.524%;KL153_03_wzi,99.82%;KL153_04_wza,100.0%;KL153_05_wzb,100.0%;KL153_06_wzc,99.583%;KL153_07,100.0%;KL153_08_wcuD,99.494%;KL153_09_wcuC,100.0%;KL153_10_wcuI,100.0%;KL153_11_manC,100.0%;KL153_12_manB,99.564%;KL153_13_wbaZ,100.0%;KL153_14_wbaP,100.0%;KL153_15_wctH,100.0%;KL153_16_wctI,100.0%;KL153_17_wzx,100.0%;KL153_18_wcuJ,100.0%;KL153_19_gnd,99.787%;KL153_20_ugd,99.743%		0		0 / 20 (0%)		4	KL40_03_wcpO,95.951%;KL40_04,99.752%;KL40_05_rfaG,99.475%;KL150_19_gmd,99.104%
Klebsiella_variicola_ATCC_31488	KL1	K1	High	*	100.00%	89.84%	+5 bp	20 / 20 (100%)	KL1_01_galF,99.666%;KL1_02_cpsACP,94.286%;KL1_03_wzi,97.699%;KL1_04_wza,98.677%;KL1_05_wzb,95.862%;KL1_06_wzc,95.787%;KL1_07_wzx,89.019%;KL1_08_wclY,82.633%;KL1_09_wzy,96.333%;KL1_10_wcsS,85.014%;KL1_11_wcsT,92.398%;KL1_12_gmd,98.691%;KL1_13_wcaG,94.236%;KL1_14_wcaH,84.967%;KL1_15_wcaI,89.136%;KL1_16_wcaJ,98.504%;KL1_17_gnd,99.574%;KL1_18_manC,99.364%;KL1_19_manB,100.0%;KL1_20_ugd,99.743%		0		0 / 20 (0%)		3	KL14_19_manC,100.0%;KL30_19_manB,99.145%;KL150_19_gmd,98.507%
Klebsiella_variicola_ATCC_BAA_2552	KL30	K30	Very high	*	100.00%	95.40%	-8 bp	20 / 20 (100%)	KL30_01_galF,98.997%;KL30_02_cpsACP,93.81%;KL30_03_wzi,98.614%;KL30_04_wza,97.354%;KL30_05_wzb,97.222%;KL30_06_wzc,96.409%;KL30_07_wcuL,97.476%;KL30_08_wzx,98.201%;KL30_09_wcuD,95.065%;KL30_10_wzy,97.717%;KL30_11_wckP,98.347%;KL30_12_wckO,98.205%;KL30_13_wckN,96.094%;KL30_14,97.527%;KL30_15_wcuG,94.085%;KL30_16_wcaJ,99.571%;KL30_17_gnd,99.36%;KL30_18_manC,100.0%;KL30_19_manB,100.0%;KL30_20_ugd,100.0%		0		0 / 20 (0%)		3	KL14_19_manC,100.0%;KL30_19_manB,99.145%;KL150_19_gmd,98.507%
Klebsiella_variicola_ATCC_BAA_830	KL16	K16	Very high	*	100.00%	97.34%	+13 bp	22 / 22 (100%)	KL16_01_galF,99.331%;KL16_02_cpsACP,93.81%;KL16_03_wzi,99.582%;KL16_04_wza,100.0%;KL16_05_wzb,100.0%;KL16_06_wzc,98.884%;KL16_07_wzx,99.505%;KL16_08_wzy,99.085%;KL16_09_gtf1,98.408%;KL16_10_vatD,98.901%;KL16_11_lacA,99.457%;KL16_12_sunS,98.706%;KL16_13_gmd,99.464%;KL16_14_fcl,99.69%;KL16_15_gmm,99.346%;KL16_16,98.765%;KL16_17_wcaJ,100.0%;KL16_18_gnd,99.787%;KL16_19,95.956%;KL16_20_manC,99.364%;KL16_21_manB,99.781%;KL16_22_ugd,100.0%		0		0 / 22 (0%)		3	KL49_17_manC,100.0%;KL30_19_manB,99.145%;KL150_19_gmd,98.507%
GCA_900451165.1_44787_G01_genomic	KL74	K74	High	-	100.00%	99.48%	0 bp	18 / 19 (94.7%)	KL74_01_galF,100.0%;KL74_02_cpsACP,99.524%;KL74_03_wzi,99.792%;KL74_04_wza,99.736%;KL74_05_wzb,100.0%;KL74_06_wzc,99.861%;KL74_07_wbaP,100.0%;KL74_08_wcuD,99.235%;KL74_09_wcuE,99.696%;KL74_10_wbaZ,100.0%;KL74_11_wzy,99.757%;KL74_12,99.819%;KL74_13_wzx,100.0%;KL74_14_wcuL,99.373%;KL74_15_wcoW,99.091%;KL74_17_manC,100.0%;KL74_18_manB,99.781%;KL74_19_ugd,99.743%	KL74_16_gnd	0		0 / 19 (0%)		3	KL74_17_manC,100.0%;KL169_17_manB,98.026%;KL150_19_gmd,85.075%
GCA_900451185.1_44503_H01_genomic	KL3	K3	Very high		100.00%	99.59%	0 bp	19 / 19 (100%)	KL3_01_galF,99.666%;KL3_02_cpsACP,96.537%;KL3_03_wzi,100.0%;KL3_04_wza,100.0%;KL3_05_wzb,100.0%;KL3_06_wzc,99.447%;KL3_07_wcaJ,100.0%;KL3_08,100.0%;KL3_09,99.705%;KL3_10_pglJ,100.0%;KL3_11,99.183%;KL3_12,99.742%;KL3_13_wzx,99.58%;KL3_14,99.756%;KL3_15_wbaZ,100.0%;KL3_16_gnd,99.795%;KL3_17_manC,99.788%;KL3_18_manB,99.562%;KL3_19_ugd,99.743%		0		0 / 19 (0%)		3	KL40_05_rfaG,98.684%;KL150_19_gmd,98.806%;KL150_19_gmd,84.685%
GCA_900451215.1_44310_G01_genomic	KL1	K1	Good	-+	100.00%	99.48%	-2 bp	19 / 20 (95%)	KL1_01_galF,99.331%;KL1_02_cpsACP,96.667%;KL1_04_wza,100.0%;KL1_05_wzb,100.0%;KL1_06_wzc,98.312%;KL1_07_wzx,99.767%;KL1_08_wclY,99.72%;KL1_09_wzy,100.0%;KL1_10_wcsS,99.728%;KL1_11_wcsT,99.415%;KL1_12_gmd,100.0%;KL1_13_wcaG,99.424%;KL1_14_wcaH,100.0%;KL1_15_wcaI,99.753%;KL1_16_wcaJ,99.359%;KL1_17_gnd,100.0%;KL1_18_manC,100.0%;KL1_19_manB,99.781%;KL1_20_ugd,100.0%	KL1_03_wzi	1	KL114_03_wzi,95.973%	0 / 20 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,99.403%
GCA_900451235.1_36340_F02_genomic	KL166	unknown (KL166)	None	?-+*	37.87%	77.43%	n/a	4 / 22 (18.2%)	KL166_15_gnd,95.736%;KL166_16_manC,90.042%;KL166_17_manB,92.967%;KL166_22_ugd,96.144%	KL166_01_galF;KL166_02_cpsACP;KL166_03_wzi;KL166_04_wza;KL166_05_wzb;KL166_06_wzc;KL166_07;KL166_08_wzx;KL166_09_wzy;KL166_10_wcuP;KL166_11_wcuF;KL166_12_wcmY;KL166_13_wcuC;KL166_14_wcaJ;KL166_18_rmlB;KL166_19_rmlA;KL166_20_rmlD;KL166_21_rmlC	2	KL169_16_manC,99.788%;KL74_18_manB,100.0%	0 / 22 (0%)		1	KL150_19_gmd,85.075%
GCA_900451245.1_46582_E01_genomic	KL1	K1	None	?-*	85.08%	93.92%	n/a	15 / 20 (75%)	KL1_01_galF,99.666%;KL1_02_cpsACP,94.762%;KL1_03_wzi,98.326%;KL1_04_wza,100.0%;KL1_05_wzb,100.0%;KL1_06_wzc,99.017%;KL1_07_wzx,96.744%;KL1_08_wclY,96.639%;KL1_13_wcaG,94.753%;KL1_15_wcaI,90.099%;KL1_16_wcaJ,98.504%;KL1_17_gnd,99.574%;KL1_18_manC,99.153%;KL1_19_manB,99.781%;KL1_20_ugd,99.486%	KL1_09_wzy;KL1_10_wcsS;KL1_11_wcsT;KL1_12_gmd;KL1_14_wcaH	0		0 / 20 (0%)		3	KL49_17_manC,100.0%;KL30_19_manB,98.92%;KL150_19_gmd,97.91%
GCA_900451255.1_32473_E02_genomic	KL27	K27	None	?-+*	94.85%	79.15%	n/a	9 / 18 (50%)	KL27_01_galF,91.973%;KL27_03_wzi,90.833%;KL27_04_wza,93.158%;KL27_05_wzb,91.781%;KL27_06_wzc,89.751%;KL27_07_wcaJ,90.526%;KL27_14_wcuJ,87.202%;KL27_17_gnd,97.655%;KL27_18_ugd,95.887%	KL27_02_cpsACP;KL27_08_wckI;KL27_09_wckS;KL27_10_wckR;KL27_11_wzy;KL27_12_wzx;KL27_13_wckQ;KL27_15_wctE;KL27_16_wctF	1	KL26_02_cpsACP,90.948%	0 / 18 (0%)		3	KL169_16_manC,100.0%;KL169_17_manB,97.588%;KL150_19_gmd,85.075%
