strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
Klebsiella_pneumoniae_ATCC_BAA_1706	Klebsiella pneumoniae	strong	3	5304241	5304241	5521365	no	-	ST14	1	0	4	6	ybt 10; ICEKp4	106-2LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1ab	none	Very high	99.97%		aac(6')-Il;aadA1.v1*;strA.v1;strB.v1	-	-	-	-	-	-	-	-	-	-	-	TEM-1D.v1^;TEM-1D.v1^	-	-	-	-	SHV-11.v1^	35Q	OmpK36-31%	MgrB-49%	GyrA-83F	sul1?-0%	-	ST14	1	6	1	1	1	1	1	3	3	4	3	3	390	7	116	3	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_1898	Klebsiella pneumoniae	strong	4	5354389	5354389	5730161	no	-	ST258	0	2	9	11	-	0	-	0	-	0	-	0	-	0	-	wzi29	KL106	unknown (KL106)	?	Good	99.98%		O1/O2v2	O2afg	none	Very high	98.47%		aadA2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1;sul1	-	-	dfrA12	TEM-1D.v1^	-	SHV-12	-	KPC-2	SHV-11.v1^	238S;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_1899	Klebsiella pneumoniae	strong	5	5292110	5292110	5677126	no	-	ST258	0	2	9	16	-	0	-	0	-	0	-	0	-	0	-	wzi29	KL106	unknown (KL106)	?	Good	99.98%		O1/O2v2	O2afg	none	Very high	98.47%		aac(3)-IV;aac(6')-Ib'.v1;aadA2;aadA2^;aadA^;aph(4)-Ia;aph3-Ia.v1^	-	-	-	-	mphA	catA1^;cmlA1*	-	sul1;sul3	-	-	dfrA12	TEM-1D.v1^	-	SHV-12	-	KPC-2	SHV-11.v1^	238S;240K;35Q;35Q	OmpK35-25%;OmpK36GD	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_1900	Klebsiella pneumoniae	strong	7	5367688	5367688	5562875	no	-	ST258	0	2	6	9	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	99.99%		O1/O2v2	O2afg	none	Very high	98.38%		aac(6')-Ib'.v1*;aadA*;strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	-	-	dfrA14.v2*	OXA-9.v1;TEM-1D.v1^	-	-	-	KPC-3	SHV-11.v1	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_1902	Klebsiella pneumoniae	strong	19	5383199	5383199	5856424	no	-	ST418	0	2	8	14	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	99.99%		unknown (OL102)	unknown (OL102)	-*	None	88.02%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	aac(6')-Ib'.v1;aac(6')-Ib'.v1;aac(6')-Ib'.v1*;aadA*;aph3-Ia.v1^;strA.v1^;strB.v1	-	-	-	-	mphA	-	-	sul2	-	-	dfrA14.v2*	OXA-9.v1;TEM-1D.v1^	-	SHV-12	-	KPC-3	SHV-11.v1^	238S;240K;35Q;35Q	OmpK35-25%;OmpK36-17%	-	GyrA-83I;ParC-80I	-	TEM-215*?-53%;aac(6')-Ib'.v1*?-66%;aac(6')-Ib'.v1?-59%	ST418	3	3	1	1	1	46	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_1903	Klebsiella pneumoniae	strong	4	5343070	5343070	5643236	no	-	ST418	0	2	8	12	-	0	-	0	-	0	-	0	-	0	-	wzi29	KL106	unknown (KL106)	?	Good	99.95%		O1/O2v2	O2afg	none	Very high	98.47%		aac(6')-Ib'.v1;aac(6')-Ib'.v1;aadA2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1;sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-2	SHV-11.v1	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST418	3	3	1	1	1	46	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_1904	Klebsiella pneumoniae	strong	7	5480902	5480902	5992168	no	-	ST792	2	2	4	7	ybt 17; ICEKp10	281-1LV	clb 3	15-1LV	-	0	-	0	-	0	-	wzi25	KL25	K25	none	Very high	100.00%		O3/O3a	O3/O3a	none	Very high	98.57%		aac(6')-Ib'.v1;aac(6')-Ib'.v1;aadA*	-	-	-	-	-	-	-	-	-	-	dfrA14.v2*	OXA-9.v1;TEM-1D.v1^	-	-	-	KPC-3	SHV-1*	-	-	-	-	-	-	ST792	2	7	1	26	1	4	4	6	15	5*	4	11	78	26	2	11	4	2	2	10*	2	2	2	2	2	3	2	2	2	2	6	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_1905	Klebsiella pneumoniae	strong	10	5406871	5406871	5921420	no	-	ST258	2	2	9	17	ybt 17; ICEKp10	251	clb 3	62	-	0	-	0	-	0	-	wzi50	KL51	K51	none	Very high	99.78%		O3b	O3b	none	Very high	99.08%		aac(3)-IV;aac(6')-Ib'.v1;aadA2;aadA2;aadA2^;aadA^;aph(4)-Ia;aph3-Ia.v1^	-	-	-	-	mphA	catA1^;cmlA1*	-	sul1;sul1	-	-	dfrA12	TEM-1D.v1^	-	SHV-12	-	KPC-2	SHV-11.v1	238S;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	10	2	2	2	4	2	8	2	2	2	2	2	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2146	Klebsiella pneumoniae	strong	5	5435730	5435730	5780684	no	-	ST11	0	2	10	22	-	0	-	0	-	0	-	0	-	0	-	wzi174	unknown (KL74)	unknown (K74)	?+	Low	98.88%		O3b	O3b	*	High	91.71%		aac(3)-IIa.v1^;aac(6')-Ib'.v1;aac(6')-Ib-cr.v2;aac(6')-Ib3^;aadA2;rmtC;strA.v1^;strB.v1	-	-	qnrB9.2^	-	mphA	CatB4.v1	-	sul1;sul1;sul2	tet(A).v1	-	dfrA14.v2*	CMY-6;OXA-1;TEM-1D.v1^	-	CTX-M-15;CTX-M-15	-	NDM-1	SHV-11.v1;SHV-11.v1^	35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2342	Klebsiella pneumoniae	strong	6	5486126	5486126	5888537	no	-	ST258	2	2	7	10	ybt 17; ICEKp10	289	clb 3	52	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	99.99%		O1/O2v2	O2afg	none	Very high	98.38%		aac(6')-Ib'.v1*;aadA*;strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	-	-	dfrA14.v2*	OXA-9.v1;TEM-1D.v1^	-	SHV-12	-	KPC-3	SHV-11.v1^	238S;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	TEM-215*?-53%;aac(6')-Ib'.v1*?-66%	ST258	3	3	1	1	1	1	79	6	15	5	4	11	28	26	2	11	4	2	2	39	2	2	2	2	2	8	2	2	2	2	2	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2343	Klebsiella pneumoniae	strong	5	5378796	5378796	5754711	no	-	ST258	0	2	8	12	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	98.68%		O1/O2v2	O2afg	none	Very high	98.38%		aac(6')-Ib'.v1;aadA*;aadA2^	-	-	-	-	-	catA1^	-	sul1	tet(W/N/W)*	-	dfrA12	OXA-9.v1;TEM-1D.v1^	-	-	-	KPC-3;KPC-3;KPC-3	SHV-11.v1	35Q	OmpK35-25%	-	GyrA-83I;GyrA-87N;ParC-80I	-	aac(6')-Ib'.v1*?-50%;aac(6')-Ib'.v1*?-66%;aac(6')-Ib-Hangzhou*?-0%	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2344	Klebsiella pneumoniae	strong	14	5305700	5305700	5725888	no	-	ST258	0	2	9	12	-	0	-	0	-	0	-	0	-	0	-	wzi29	KL106	unknown (KL106)	?	Good	99.99%		O1/O2v2	O2afg	none	Very high	98.48%		aac(6')-Ib'.v1;aadA2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1;sul1	-	-	dfrA12	TEM-1D.v1^	-	SHV-12	-	KPC-2	SHV-11.v1	238S;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2473	Klebsiella pneumoniae	strong	11	2464088	3003963	6008759	no	-	ST14	1	2	10	23	ybt 14; ICEKp5	140	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1ab	-	High	99.98%	O1/O2v1_06_wbbO	aac(3)-IId^;aac(6')-Ib'.v1;aac(6')-Ib-cr.v2*;aadA*;aadA*;armA;sat-2	-	-	-	-	ereA2*;mphE.v2;msrE	CatB4.v1;catA1^;cmlA5	arr-2	sul1;sul1*	-	-	dfrA1.v1	CMY-4.v1;OXA-1;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	SHV-11.v1^;SHV-28.v1^	35Q	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	DHA-1?-70%	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2782	Klebsiella pneumoniae	strong	12	5346180	5346180	5728531	no	-	ST101	1	1	7	8	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Perfect	100.00%		O1/O2v1	O1ab	-	High	97.88%	O1/O2v1_06_wbbO	aac(6')-Ib-cr.v2;aph3-Ia.v1^	-	-	-	-	-	CatB4.v1	-	sul2	-	-	dfrA14.v2*;dfrA14.v2*	OXA-1	-	CTX-M-15	-	-	SHV-1^	-	OmpK36-0%	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2783	Klebsiella pneumoniae	strong	26	4545013	4545013	5946842	no	-	ST16	0	1	9	23	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL51	K51	-	High	99.94%	KL51_14_wcoZ	O3b	O3b	-	High	99.07%	O3b_08_wbdC	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;armA	-	-	-	-	mphA;mphE.v2;msrE	CatB4.v1	-	sul1;sul1;sul1;sul2	tet(A).v1;tet(A).v1;tet(D)	-	dfrA12;dfrA14.v2*	OXA-1;OXA-2;SCO-1;TEM-1D.v1^	-	CTX-M-15;CTX-M-2	-	-	SHV-1	-	OmpK35-80%;OmpK36-65%	-	GyrA-83F;GyrA-87N;ParC-84K	CatB4.v1*-8%;OXA-1*-0%;aac(6')-Ib-cr.v2*-7%;aac(6')-Ib7*-24%	-	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2784	Klebsiella pneumoniae	strong	3	5366540	5366540	5564720	no	-	ST258	0	2	4	3	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	99.99%		O1/O2v2	O2afg	none	Very high	98.38%		aac(6')-Ib'.v1	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-12	-	KPC-3	SHV-11.v1^	238S;240K;35Q;35Q	OmpK35-25%;OmpK36-26%	-	GyrA-83I;GyrA-87N;ParC-80I	-	TEM-112*?-53%;aac(6')-Ib'.v1*?-66%	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2785	Klebsiella pneumoniae	strong	6	5314902	5314902	5706377	no	-	ST258	0	2	9	17	-	0	-	0	-	0	-	0	-	0	-	wzi29	KL106	unknown (KL106)	?	Good	99.98%		unknown (OL102)	unknown (OL102)	-	None	73.84%	OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	aac(3)-IV;aac(6')-Ib'.v1;aac(6')-Ib'.v1;aadA2;aadA2^;aadA^;aph(4)-Ia;aph3-Ia.v1^	-	-	-	-	mphA	catA1^;cmlA1*	-	sul1;sul3	-	-	dfrA12	TEM-1D.v1^	-	SHV-12	-	KPC-2	SHV-11.v1	238S;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2786	Klebsiella pneumoniae	strong	4	5368130	5368130	5655202	no	-	ST258	0	2	5	7	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	99.99%		O1/O2v2	O2afg	none	Very high	98.37%		aac(6')-Ib'.v1;aadA*	-	-	-	-	-	-	-	-	-	-	-	OXA-9.v1;TEM-1D.v1^	-	SHV-12;SHV-12	-	KPC-3	-	238S;238S;240K;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;GyrA-87N;ParC-80I	-	TEM-215*?-53%;TEM-215*?-53%;TEM-215*?-53%;aac(6')-Ib'.v1*?-66%;aac(6')-Ib'.v1*?-66%	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2787	Klebsiella pneumoniae	strong	5	5350357	5350357	5611689	no	-	ST258	0	2	7	13	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	99.99%		O1/O2v2	O2afg	none	Very high	98.38%		aac(3)-IV;aac(6')-Ib'.v1*;aac(6')-Ib'.v1*;aadA*;aadA2;aadA^;aph(4)-Ia	-	-	-	-	-	cmlA1*	-	sul3	-	-	-	OXA-9.v1;TEM-1D.v1^	-	SHV-12	-	KPC-3	SHV-11.v1^	238S;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;GyrA-87N;ParC-80I	-	TEM-215*?-53%;TEM-215*?-53%;TEM-215*?-53%;aac(6')-Ib'.v1*?-66%;aac(6')-Ib'.v1*?-66%	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2788	Klebsiella pneumoniae	strong	5	5334741	5334741	5671467	no	-	ST258	0	2	9	18	-	0	-	0	-	0	-	0	-	0	-	wzi29	KL106	unknown (KL106)	?-*	Good	99.88%	KL106_17	O1/O2v2	O2afg	none	Very high	98.48%		aac(3)-IV;aac(6')-Ib'.v1;aac(6')-Ib'.v1;aac(6')-Ib'.v1;aadA2;aadA2^;aadA^;aph(4)-Ia;aph3-Ia.v1^	-	-	-	-	mphA	catA1^;cmlA1*	-	sul1;sul3	-	-	dfrA12	TEM-1D.v1^	-	SHV-12	-	KPC-2	SHV-11.v1^	238S;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2789	Klebsiella pneumoniae	strong	4	5363433	5363433	5663966	no	-	ST258	0	2	8	16	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	99.98%		O1/O2v2	O2afg	none	Very high	98.38%		aac(6')-Ib'.v1;aac(6')-Ib'.v1*;aadA*;aadA2^;aph3-Ia.v1^;strA.v1^;strB.v1	-	-	-	-	mphA	-	-	sul1;sul2	-	-	dfrA12*;dfrA14.v2*	OXA-9.v1;TEM-1D.v1^	-	SHV-12	-	KPC-3	SHV-11.v1^	238S;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	TEM-215*?-53%;aac(6')-Ib'.v1*?-66%	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2790	Klebsiella pneumoniae	strong	5	5351513	5351513	5731904	no	-	ST258	0	2	9	12	-	0	-	0	-	0	-	0	-	0	-	wzi29	unknown (KL106)	unknown (KL106)	?-	None	99.88%	KL106_07_wzy,KL106_08,KL106_09,KL106_10_wecB,KL106_11_wzx	O1/O2v2	O2afg	none	Very high	98.48%		aac(6')-Ib'.v1;aadA2;aadA2^	-	-	-	-	mphA	catA1^	-	sul1;sul1	-	-	dfrA12	TEM-1D.v1^	-	SHV-12;SHV-12	-	KPC-2	-	238S;238S;240K;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%;aac(6')-Ib'.v1*?-0%	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_2814	Klebsiella pneumoniae	strong	10	5437548	5437548	5822330	no	-	ST512	0	2	8	11	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	100.00%		O1/O2v2	O2afg	none	Very high	98.37%		aac(6')-Ib'.v1;aadA2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1;sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-3	SHV-11.v1	35Q	OmpK35-25%;OmpK36GD	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST512	54	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3060	Klebsiella pneumoniae	strong	8	5102746	5102746	5784026	no	-	ST589	0	0	10	20	-	0	-	0	-	0	-	0	-	0	-	wzi86	KL125	unknown (KL125)	*	High	90.34%		O3/O3a	O3/O3a	*	Very high	95.38%		aac(3)-IIg;aac(6')-IIc;aac(6')-Ib-cr.v2^;aph3-Ia.v1^;strA.v1;strB.v1	mcr-9.1	fosA7*	qnrB4	-	mphA	catB3.v2;catII.2*	arr-3	sul1;sul1;sul1	-	-	dfrA19*	DHA-7;OXA-1;TEM-1D.v1^	-	-	-	-	SHV-11.v1^;SHV-11.v1^	35Q;35Q	-	-	GyrA-83Y	aac(6')-Ib7*-27%;ereA2*?-0%	-	ST589	2	1	1	1	4	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3061	Klebsiella pneumoniae	strong	5	5282723	5282723	5659228	no	-	ST258	0	2	9	14	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	99.99%		O1/O2v2	O2afg	none	Very high	98.38%		aac(6')-Ib'.v1;aac(6')-Ib'.v1;aac(6')-Ib-cr.v2*;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1	-	sul1	-	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	KPC-3;KPC-3	SHV-11.v1	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	TEM-215*?-53%;aac(6')-Ib'.v1*?-66%	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3062	Klebsiella pneumoniae	strong	6	5408715	5408715	5633815	no	-	ST101	1	2	5	7	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Very high	99.99%		O1/O2v1	O1ab	none	Very high	98.03%		aac(6')-Ib'.v1;aadA*	-	-	-	-	-	-	-	-	-	-	-	OXA-9.v1	-	CTX-M-15;CTX-M-15;CTX-M-15	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	-	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3063	Klebsiella pneumoniae	strong	6	5317688	5317688	5711924	no	-	ST15	0	2	10	15	-	0	-	0	-	0	-	0	-	0	-	wzi93	KL112	unknown (KL112)	none	Very high	98.65%		O1/O2v1	O1ab	none	Very high	98.52%		aac(6')-Ib-cr.v2;aph(3')-VIa*;aph3-Ia.v1^;strA.v1^;strB.v1	-	-	-	-	ereA2*	CatB4.v1;catA1^	arr-2	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-16	SHV-28.v1^	-	OmpK36GD	-	GyrA-83F;GyrA-87A;ParC-80I	-	aph(6)-Id.v2?-73%	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3064	Klebsiella pneumoniae	strong	13	5498669	5498669	5639955	no	-	ST101	1	2	10	19	ybt 9; ICEKp3	183-3LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Very high	99.98%		O1/O2v1	O1ab	-	High	98.03%	O1/O2v1_05_wbbN	aac(3)-IIa.v1^;aac(6')-Ib'.v1;aadA*;aadA2;aadA^;aph(3')-VIb*;strA.v1;strA.v1	-	-	-	-	mphA	cmlA1*;floR.v1*	-	sul3	tet(D)	-	dfrA14.v2*	OXA-9.v1;TEM-1D.v1^;TEM-1D.v1^	-	CTX-M-14^	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	aph(6)-Id.v1*?-43%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37*	9	5	107	234	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_3065	Klebsiella pneumoniae	strong	5	5306962	5306962	5685259	no	-	ST11	0	2	9	15	-	0	-	0	-	0	-	0	-	0	-	wzi24	KL24	K24	none	Very high	100.00%		O1/O2v1	O2a	none	Very high	98.51%		aac(3)-IId^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	-	-	mphA	CatB4.v1	-	sul1;sul2	tet(A).v1	-	-	CMY-6;OXA-1;TEM-1D.v1^	-	CTX-M-15;CTX-M-15	-	NDM-1	SHV-11.v1	35Q	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	DHA-1?-70%	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
