Accession,Strain,Isolation_source,Culture_collection,Bioproject,BioSample,Host,Collection_date,Origin,lat,lon,Serovar,Genome Length,No. Contigs,Smallest Contig,Largest Contig,Average Contig Length,N50,non-ATCG,GC Content,Organism Name,ST,cgST,LIN code,Sublineage,Clonal Group,Species,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,rmpA2,virulence_score,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,K_type,K_locus_confidence,K_locus_problems,K_locus_identity,K_Missing_expected_genes,O_locus,O_type,O_locus_confidence,O_locus_problems,O_locus_identity,O_Missing_expected_genes
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_33495,ATCC 33495,Urinary tract,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5487722,17,108,2823469,322807,2823469,0,57.2,Klebsiella pneumoniae,4073,Novel,"0,0,994,0,*,*,*,*,*,*",11134,11997,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-37,35Q,-,-,-,ESBL and Carb negative,KL5,Capsule null,Typeable,!,99.95%,-,O1/O2v1,O1ab,Typeable,-,98.93%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_35593,ATCC 35593,Clinical isolate,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5201904,7,216,4964328,743129,4964328,0,57.5,Klebsiella pneumoniae,82,3710,"0,0,438,0,0,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,-,-,rmp 2A; plasmid/chr (truncated),-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,?2,99.51%,-,O1/O2v1,O1ab,Typeable,-,99.28%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_35657,ATCC 35657,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5387962,2,158741,5229221,2693981,5229221,0,57.4,Klebsiella pneumoniae,505,692,"0,0,410,0,0,0,0,0,1,0",505,505,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-108,35Q,-,-,-,ESBL and Carb negative,KL64,K64,Typeable,-,99.92%,-,O1/O2v1,O1ab,Typeable,-,99.08%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_4208,ATCC 4208,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5271834,14,102,5020059,376559,5020059,0,57.4,Klebsiella pneumoniae,82,Novel,"0,0,438,0,0,0,0,*,*,*",82,82,Klebsiella pneumoniae,-,-,-,-,rmp 2A; plasmid/chr (truncated),-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.53%,-,O1/O2v1,O1ab,Typeable,-,99.28%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_4209,ATCC 4209,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5271658,1,5271658,5271658,5271658,5271658,0,57.6,Klebsiella pneumoniae,86,Novel,"0,0,395,0,9,0,0,0,*,*",86,86,Klebsiella pneumoniae,ybt 9; ICEKp3 (truncated),-,-,-,-,-,ybt only,-,-,-,-,-,SHV-1^,-,-,MgrB-49%,-,ESBL and Carb negative,KL2,Capsule null,Typeable,!,99.89%,-,O1/O2v1,O2a,Typeable,-,99.26%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_43816,ATCC 43816,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5362685,1,5362685,5362685,5362685,5362685,0,57.4,Klebsiella pneumoniae,493,4130,"0,0,209,1,0,0,0,0,0,0",493,493,Klebsiella pneumoniae,ybt 2; ICEKp1,-,-,iro 3 (truncated),rmp 3; ICEKp1,-,ybt only,-,-,-,-,-,SHV-1*,-,-,-,-,ESBL and Carb negative,KL2,K2,Typeable,-,99.73%,-,O1/O2v1,O1ab,Typeable,-,99.77%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_49472,ATCC 49472,Clinical isolate,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5561400,4,54171,5178030,1390350,5178030,0,57.1,Klebsiella pneumoniae,416,Novel,"0,0,9,0,*,*,*,*,*,*",416,416,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-14^,-,-,-,-,ESBL and Carb negative,KL30,K30,Typeable,!,95.05%,-,O1/O2v2,O1ab,Typeable,-,99.56%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_51503,ATCC 51503,Clinical isolate,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5655322,5,3674,5236838,1131064,5236838,0,57.2,Klebsiella pneumoniae,20,Novel,"0,0,22,45,*,*,*,*,*,*",17,10476,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,TEM-10.v2;TEM-12^,-,-,SHV-187,-,-,-,-,ESBL only,KL28,K28,Typeable,-,99.79%,-,O1/O2v2,O1ab,Typeable,-,99.00%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_51504,ATCC 51504,Clinical isolate,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5936186,6,16057,5453708,989364,5453708,0,56.7,Klebsiella pneumoniae,Novel,Novel,"0,0,127,5,*,*,*,*,*,*",6,299,Klebsiella pneumoniae,ybt 17; ICEKp10,clb 3,-,-,-,-,clb + ybt (or clb only),OXA-2,-,TEM-10.v2^;TEM-10.v2^;TEM-10.v2^,-,-,SHV-1,-,-,-,GyrA-83Y,ESBL only,KL7,K7,Typeable,-,99.51%,-,O1/O2v1,O1ab,Typeable,-,99.43%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_700721,ATCC 700721,Sputum,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5652019,19,175,5303843,297474,5303843,0,57.2,Klebsiella pneumoniae,38,25330,"0,0,184,0,2,0,0,0,1,0",38,38,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^;TEM-1D.v1^,-,-,-,-,SHV-11^,35Q,-,-,GyrA-83Y,ESBL and Carb negative,KL52,K52,Typeable,?2-,100.00%,KL52_09_wcoY;KL52_12_wcaN;KL52_10_wcoX;KL52_14;KL52_15_wcpG;KL52_13_wzy;KL52_11_wcuS,OL13,O13,Typeable,!,96.58%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_BAA_2470,ATCC BAA-2470,Respiratory sample,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,6050869,16,131,5492521,378179,5492521,0,56.6,Klebsiella pneumoniae,37,666,"0,0,109,4,1,0,0,0,0,0",37,2867,Klebsiella pneumoniae,ybt 28; ICEKp6,-,-,-,-,-,ybt only,CMY-4.v1;OXA-10,-,CTX-M-15,-,NDM-1,SHV-11^,35Q,OmpK35-16%,-,GyrA-83F;GyrA-87N;ParC-80I,Carb without colistin,KL105,unknown (KL105),Typeable,!,99.96%,-,O1/O2v2,O2afg,Typeable,-,98.92%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_BAA_2472,ATCC BAA-2472,Respiratory sample,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5989597,6,1552,5439179,998266,5439179,0,56.9,Klebsiella pneumoniae,14,667,"0,0,1,1,17,0,1,0,0,0",14,14,Klebsiella pneumoniae,ybt 14; ICEKp5,-,-,-,-,-,ybt only,CMY-4.v1;OXA-9.v1;TEM-1D.v1^;TEM-1D.v1^,-,CTX-M-15;CTX-M-15,-,NDM-1,SHV-11^;SHV-28^,35Q,OmpK36GD,-,GyrA-83Y;GyrA-87G;ParC-80I,Carb without colistin,KL2,Capsule null,Typeable,!,99.79%,-,O1/O2v1,O1ab,Typeable,!,100.00%,-
Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_BAA_2524,ATCC BAA-2524,Clinical isolate from biomerieux,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5632425,6,2426,5355170,938737,5355170,0,56.9,Klebsiella pneumoniae,45,Novel,"0,0,158,8,11,*,*,*,*,*",45,45,Klebsiella pneumoniae,ybt 10; ICEKp4,-,-,-,-,-,ybt only,TEM-1D.v1^,-,-,-,OXA-48,SHV-1,-,-,-,-,Carb without colistin,KL52,K52,Typeable,!,98.90%,-,OL13,O13,Typeable,!,96.50%,-
Klebsiella_pneumoniae_subsp_rhinoscleromatis_ATCC_13884,ATCC 13884,Nose,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5518913,4,1809,5400236,1379728,5400236,0,57.1,Klebsiella pneumoniae,67,12856,"0,0,443,0,1,0,0,0,0,0",10032,10292,Klebsiella pneumoniae,ybt 11; ICE_rhino (truncated),-,iuc 4,-,rmp 4; chromosomal (truncated),-,iuc and ybt (without clb),-,-,-,-,-,SHV-206,-,-,-,-,ESBL and Carb negative,KL3,K3,Typeable,!,99.42%,-,O1/O2v2,O2afg,Typeable,!,99.01%,-
Klebsiella_pneumoniae_subsp_rhinoscleromatis_ATCC_9436,ATCC 9436,Patient,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5533791,5,1211,5289296,1106758,5289296,0,57,Klebsiella pneumoniae,67,Novel,"0,0,443,*,*,*,*,*,*,*",10032,Not tested,Klebsiella pneumoniae,ybt 11; ICE_rhino (truncated),-,iuc 4,-,rmp 4; chromosomal (truncated),-,iuc and ybt (without clb),-,-,-,-,-,SHV-206,-,-,-,-,ESBL and Carb negative,KL3,K3,Typeable,!,99.43%,-,O1/O2v2,O2afg,Typeable,!,99.00%,-
Klebsiella_quasipneumoniae_ATCC_700603,ATCC 700603,Urine from hospitalized patient,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5513818,3,77110,5284710,1837939,5284710,0,57.7,Klebsiella quasipneumoniae,489,Novel,"2,1,24,0,0,0,0,0,*,*",489,489,Klebsiella quasipneumoniae subsp. similipneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-2,-,SHV-18,-,-,OKP-B-6^,238A;240K,-,-,-,ESBL only,KL53,K53,Typeable,-,99.61%,-,O3/O3a,O3/O3a,Typeable,-,98.73%,-
Klebsiella_quasivariicola_ATCC_TSD_144,ATCC TSD-144,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5946963,4,67896,5540400,1486740,5540400,0,56.7,Klebsiella quasivariicola,3899,13928,"3,0,9,0,0,0,0,0,0,0",11028,11852,Klebsiella quasivariicola,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,SHV-7^,-,-,LEN-26,238S;240K,-,-,-,ESBL only,KL153,unknown (KL153),Typeable,-,99.88%,-,O1/O2v2,O2afg,Typeable,!,98.89%,-
Klebsiella_variicola_ATCC_31488,ATCC 31488,Soil,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5560418,2,84322,5476096,2780209,5476096,0,57.5,Klebsiella variicola,Novel,Novel,"1,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella variicola subsp. variicola,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,LEN-55^,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,94.57%,-,O3/O3a,O3/O3a,Typeable,-,99.81%,-
Klebsiella_variicola_ATCC_BAA_2552,ATCC BAA-2552,Corn plant,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5903781,3,91096,5624763,1967927,5624763,0,56.9,Klebsiella variicola,146,Novel,"1,0,126,0,0,0,0,*,*,*",146,146,Klebsiella variicola subsp. variicola,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,LEN-28,-,-,-,-,ESBL and Carb negative,KL30,K30,Typeable,-,97.73%,-,O3/O3a,O3/O3a,Typeable,-,99.53%,-
Klebsiella_variicola_ATCC_BAA_830,ATCC BAA-830,Banana root; isolated march 2001,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5521199,1,5521199,5521199,5521199,5521199,0,57.6,Klebsiella variicola,2263,18,"1,0,65,0,0,0,0,0,0,0",2263,2263,Klebsiella variicola subsp. variicola,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,LEN-17^,-,-,-,-,ESBL and Carb negative,KL16,K16,Typeable,-,98.99%,-,O3/O3a,O3/O3a,Typeable,-,99.85%,-
GCA_900635435.1_28021_A02_genomic,NCTC10006,Unknown,NCTC,PRJEB6403,SAMEA2548136,Unknown,Unknown,Unknown,NA,NA,Unknown,5265473,13,2105,1497228,405036,791406,0,54.9,Klebsiella aerogenes,134,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900637945.1_53421_E01_genomic,NCTC9735,Unknown,NCTC,PRJEB6403,SAMEA80457418,Unknown,1900/1955,Unknown,NA,NA,Unknown,5190487,1,5190487,5190487,5190487,5190487,0,55,Klebsiella aerogenes,259,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900451335.1_32473_A01_genomic,NCTC11683,Unknown,NCTC,PRJEB6403,SAMEA2709020,Unknown,Unknown,Unknown,NA,NA,Unknown,5592058,6,6996,5504162,932009,5504162,0,55.9,Klebsiella grimontii,517,Not tested,Not tested,Not tested,Not tested,Klebsiella grimontii,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900461515.1_37419_G01_genomic,NCTC9149,Sputum,NCTC,PRJEB6403,SAMEA3340627,Unknown,1900/1952,Unknown,NA,NA,K29,5859532,2,11425,5848107,2929766,5848107,0,55.9,Klebsiella grimontii,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella grimontii,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_901542455.1_40345_E01_genomic,NCTC9146 substr. serovar casular type 26,Sputum,NCTC,PRJEB6403,SAMEA3492648,Unknown,1900/1952,Denmark,56.26392,9.501785,Unknown,5767309,1,5767309,5767309,5767309,5767309,0,55.9,Klebsiella grimontii,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella grimontii,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900451325.1_37419_B02_genomic,NCTC8167,Unknown,NCTC,PRJEB6403,SAMEA3340624,Unknown,1900/1950,United Kingdom: London,51.5072178,-0.1275862,K18,6223086,3,28602,6006728,2074362,6006728,0,55.9,Klebsiella michiganensis,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900451375.1_32473_G02_genomic,NCTC11694,Unknown,NCTC,PRJEB6403,SAMEA2709021,Unknown,Unknown,Unknown,NA,NA,Unknown,6107074,6,2185,4437270,1017845,4437270,0,55.9,Klebsiella michiganensis,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900451945.1_36734_B01_genomic,NCTC10261,Unknown,NCTC,PRJEB6403,SAMEA3307905,Unknown,1958/1900,Unknown,NA,NA,Unknown,5951078,4,9182,2841166,1487769,2328266,0,55.9,Klebsiella michiganensis,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900452065.1_37554_F01_genomic,NCTC9161,Throat swab,NCTC,PRJEB6403,SAMEA3310345,Unknown,1900/1952,Unknown,NA,NA,K41,6033144,3,2373,5815547,2011048,5815547,0,56,Klebsiella michiganensis,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900452635.1_37430_F01_genomic,NCTC9186,Milk,NCTC,PRJEB6403,SAMEA3340633,Environmental,1900/1953,Unknown,NA,NA,K66,5971424,4,19555,5698854,1492856,5698854,0,55.7,Klebsiella michiganensis,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900461495.1_36672_G01_genomic,NCTC11685,Feces,NCTC,PRJEB6403,SAMEA3282970,Homo sapiens,1900/1979,United Kingdom: Leeds,53.8007554,-1.5490774,Unknown,5919270,8,5332,2480079,739908,1614094,0,55.8,Klebsiella michiganensis,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900451165.1_44787_G01_genomic,NCTC13775,Lung,NCTC,PRJEB6403,SAMEA3879499,Homo sapiens,1974,Unknown,NA,NA,Unknown,5941796,2,20226,5921570,2970898,5921570,0,55.1,Klebsiella oxytoca,257,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900451235.1_36340_F02_genomic,NCTC11691,Unknown,NCTC,PRJEB6403,SAMEA3251442,Unknown,1900/1984,Unknown,NA,NA,Unknown,5652648,2,119648,5533000,2826324,5533000,0,55.3,Klebsiella oxytoca,287,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900451255.1_32473_E02_genomic,NCTC11696,Unknown,NCTC,PRJEB6403,SAMEA2709023,Unknown,Unknown,Unknown,NA,NA,Unknown,5985119,3,23956,5852199,1995039,5852199,0,54.9,Klebsiella oxytoca,19,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900478285.1_36005_G01_genomic,NCTC11355,Unknown,NCTC,PRJEB6403,SAMEA3251431,Unknown,1900/1980,United Kingdom: Coventry,52.4128163,-1.5089521,K74,5859982,1,5859982,5859982,5859982,5859982,0,55.2,Klebsiella oxytoca,101,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900635105.1_36109_D01_genomic,NCTC11356,Unknown,NCTC,PRJEB6403,SAMEA3251432,Unknown,1900/1980,United Kingdom: Coventry,52.4128163,-1.5089521,K79,5856891,1,5856891,5856891,5856891,5856891,0,55.2,Klebsiella oxytoca,101,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900636985.1_45889_C01_genomic,NCTC13727,Pharyngeal tonsil,NCTC,PRJEB6403,SAMEA3923594,Unknown,1900/2015,Unknown,NA,NA,Unknown,5857964,1,5857964,5857964,5857964,5857964,0,55.1,Klebsiella oxytoca,199,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_019927265.1_ASM1992726v1_genomic,MRSN761403,Blood,BEI Resources,PRJNA717739,SAMN18874781,Homo sapiens,2020-03-20,USA: Nevada,36.24,-115.04,Unknown,5630496,140,215,426300,40217,137179,0,57.1,Klebsiella pneumoniae,258,Novel,"0,0,105,6,0,*,*,*,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,SHV-12,-,KPC-2,-,238S;240K;35Q,OmpK35-25%,MgrB-53%,GyrA-83I;ParC-80I,Carb with colistin,KL107,unknown (KL107),Typeable,-,99.95%,-,O1/O2v2,O2afg,Typeable,-,99.06%,-
GCA_019927285.1_ASM1992728v1_genomic,MRSN750999,Urine,BEI Resources,PRJNA717739,SAMN18874779,Homo sapiens,2020-01-15,USA: District of Columbia,38.97,-77.03,Unknown,5488074,175,200,440057,31360,147293,0,57.3,Klebsiella pneumoniae,4075,Novel,"0,0,507,0,0,0,0,*,*,*",10159,10484,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-27,156D,-,-,-,ESBL and Carb negative,KL183,unknown (KL183),Typeable,?3,98.37%,-,OL13,O13,Typeable,?4!,97.15%,-
GCA_019927305.1_ASM1992730v1_genomic,MRSN742743,Blood,BEI Resources,PRJNA717739,SAMN18874777,Homo sapiens,2019-11-21,USA: Virginia,38.7,-77.13,Unknown,5312555,143,202,304398,37150,157925,0,57.3,Klebsiella pneumoniae,34,Novel,"0,0,13,13,*,*,*,*,*,*",34,34,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-26,-,-,-,-,ESBL and Carb negative,KL128,unknown (KL128),Typeable,-,99.44%,-,O3b,O3b,Typeable,-,99.61%,-
GCA_019927315.1_ASM1992731v1_genomic,MRSN750877,Urine,BEI Resources,PRJNA717739,SAMN18874778,Homo sapiens,2020-01-07,USA: District of Columbia,38.97,-77.03,Unknown,5899390,263,200,187688,22431,90472,0,56.6,Klebsiella pneumoniae,461,Novel,"0,0,178,4,*,*,*,*,*,*",461,461,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL62,K62,Typeable,?4!,99.65%,-,O1/O2v2,O1ab,Typeable,?2,99.14%,-
GCA_019927325.1_ASM1992732v1_genomic,MRSN736213,Urine,BEI Resources,PRJNA717739,SAMN18874775,Homo sapiens,2019-12-03,USA: District of Columbia,38.97,-77.03,Unknown,5453746,179,213,253824,30467,99388,0,57.3,Klebsiella pneumoniae,380,Novel,"0,0,339,1,0,*,*,*,*,*",380,10118,Klebsiella pneumoniae,ybt 12; ICEKp10,clb 1,iuc 2,iro 2,rmp 2; KpVP-2,-,"iuc, ybt and clb",-,-,-,-,-,SHV-207,-,-,-,-,ESBL and Carb negative,KL2,K2,Typeable,-,99.80%,-,O1/O2v1,O1ab,Typeable,-,99.95%,-
GCA_019927345.1_ASM1992734v1_genomic,MRSN740795,Respiratory,BEI Resources,PRJNA717739,SAMN18874776,Homo sapiens,2019-12-12,Ukraine: Vinnitsa,49.22,28.44,Unknown,5704282,135,204,354757,42253,136505,0,57.1,Klebsiella pneumoniae,395,Novel,"0,0,106,0,3,0,7,*,*,*",395,395,Klebsiella pneumoniae,ybt 16; ICEKp12,-,-,-,-,-,ybt only,OXA-1,-,CTX-M-15,-,OXA-48,SHV-11,35Q,OmpK35-72%,-,GyrA-83I;ParC-80I,Carb without colistin,KL2,K2,Typeable,?2-,99.82%,KL2_03_wzi;KL2_04_wza,O1/O2v1,O1ab,Typeable,-,99.96%,-
GCA_019927385.1_ASM1992738v1_genomic,MRSN731029,Urine,BEI Resources,PRJNA717739,SAMN18874774,Homo sapiens,2019-10-08,South Korea,35.907757,127.766922,Unknown,5624338,151,201,330230,37247,116542,0,57,Klebsiella pneumoniae,37,Novel,"0,0,109,32,*,*,*,*,*,*",37,10010,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",LAP-2*;TEM-1D.v1^,-,CTX-M-14,-,-,SHV-11^,35Q,-,-,-,ESBL only,KL15,K15,Typeable,?2,99.84%,-,O4,O4,Typeable,?3,99.68%,-
GCA_019927405.1_ASM1992740v1_genomic,MRSN702261,Wound,BEI Resources,PRJNA717739,SAMN18874770,Homo sapiens,2019-03-26,Kenya: Nairobi,-1.2920659,36.8219462,Unknown,5311625,109,215,255900,48730,115321,0,57.4,Klebsiella pneumoniae,711,Novel,"0,0,137,11,9,0,0,0,*,*",29,711,Klebsiella pneumoniae,ybt 16; ICEKp12,-,-,-,-,-,ybt only,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-187,-,-,-,-,ESBL only,KL54,K54,Typeable,-,99.94%,-,O1/O2v2,O1ab,Typeable,-,99.35%,-
