strain	accession	geo_loc_name	serovar	lon	lat	Assembly	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	MLST_scheme	MLST	K-locus	Best match type K-locus	Problems K-locus	Identity K-locus	Coverage K-locus	Length discrepancy K-locus	Expected genes in locus K-locus	Expected genes in locus, details K-locus	Missing expected genes K-locus	Other genes in locus K-locus	Other genes in locus, details K-locus	Expected genes outside locus K-locus	Expected genes outside locus, details K-locus	Other genes outside locus K-locus	Other genes outside locus, details K-locus	Truncated genes, details K-locus	O-locus	Best match type O-locus	Problems O-locus	Identity O-locus	Coverage O-locus	Length discrepancy O-locus	Expected genes in locus O-locus	Expected genes in locus, details O-locus	Missing expected genes O-locus	Other genes in locus O-locus	Other genes in locus, details O-locus	Expected genes outside locus O-locus	Expected genes outside locus, details O-locus	Other genes outside locus O-locus	Other genes outside locus, details O-locus	Truncated genes, details O-locus	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ATCC® 13886™	13886					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_13886	Klebsiella pneumoniae	strong	5	5042395	5042395	5281905	no	-	kpneumoniae	82	KL1	K1		99.54%	100.00%	-1 bp	20 / 20 (100.00%)	KL1_01_galF,99.33%,100.00%;KL1_02_cpsACP,96.65%,100.00%;KL1_03_wzi,99.58%,100.00%;KL1_04_wza,100.00%,100.00%;KL1_05_wzb,100.00%,100.00%;KL1_06_wzc,98.31%,100.00%;KL1_07_wzx,99.77%,100.00%;KL1_08_wclY,99.72%,100.00%;KL1_09_wzy,100.00%,100.00%;KL1_10_wcsS,99.73%,100.00%;KL1_11_wcsT,99.41%,100.00%;KL1_12_gmd,100.00%,100.00%;KL1_13_wcaG,99.42%,100.00%;KL1_14_wcaH,100.00%,100.00%;KL1_15_wcaI,99.75%,100.00%;KL1_16_wcaJ,99.36%,100.00%;KL1_17_gnd,100.00%,100.00%;KL1_18_manC,100.00%,100.00%;KL1_19_manB,99.78%,100.00%;KL1_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,97.89%,99.74%;KL150_19_gmd,99.40%,100.00%		O1/O2v1	O1ab		99.28%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,99.58%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbbYZ_02_wbbZ,98.88%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%		ST82	0	0	0	0	-	0	-	0	-	0	-	0	rmp 2A; plasmid/chr (truncated)	12	-	wzi128	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ST82	2	6	1	1	4	1	33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	7	12	4-17%	iroC_5*-0%
ATCC® 15380™	15380					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_15380	Klebsiella pneumoniae	strong	2	5306633	5306633	5511964	no	-	kpneumoniae	375	KL2	K2		99.54%	100.00%	1 bp	18 / 18 (100.00%)	KL2_01_galF,99.33%,100.00%;KL2_02_cpsACP,99.04%,100.00%;KL2_03_wzi,98.61%,100.00%;KL2_04_wza,100.00%,100.00%;KL2_05_wzb,100.00%,100.00%;KL2_06_wzc,99.72%,100.00%;KL2_07,99.72%,100.00%;KL2_08,100.00%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,99.17%,100.00%;KL2_12,99.48%,100.00%;KL2_13,99.10%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,98.93%,100.00%;KL2_16_manC,99.36%,100.00%;KL2_17_manB,99.78%,100.00%;KL2_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		4	KL40_03_wcpO,98.17%,99.80%;KL40_04,99.75%,100.00%;KL40_05_rfaG,99.21%,100.00%;KL150_19_gmd,98.20%,100.00%		O1/O2v2	O1ab		99.17%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.59%,100.00%;O1/O2v2_03_wbbM,100.00%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,97.64%,100.00%;O1/O2v2_06_wbbO,99.47%,100.00%;O1/O2v2_07_kfoC,99.25%,100.00%;O1/O2v2_08_gmlC,98.77%,100.00%;O1/O2v2_09_gmlB,98.77%,100.00%;O1/O2v2_10_gmlA,99.20%,100.00%		0		0 / 10 (0.00%)		4	O3/O3a_01_manC,99.58%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%		ST375	3	0	0	0	-	0	-	0	iuc 1	20	iro 1	14	rmp 1; KpVP-1	26	rmpA2_5-54%	wzi72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST375	43	1	2	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	3	1	1	1	3	2	2	2	-
ATCC® 211™	211					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_211	Klebsiella pneumoniae	strong	4	5196191	5196191	5487758	no	-	kpneumoniae	889	KL54	K54		99.84%	100.00%	1059 bp	20 / 20 (100.00%)	KL54_01_galF,99.33%,100.00%;KL54_02_cpsACP,100.00%,100.00%;KL54_03_wzi,100.00%,100.00%;KL54_04_wza,100.00%,100.00%;KL54_05_wzb,100.00%,100.00%;KL54_06_wzc,99.86%,100.00%;KL54_07_wclU,100.00%,100.00%;KL54_08_wzx,99.51%,100.00%;KL54_09_wzy,99.72%,100.00%;KL54_10_wckB,100.00%,100.00%;KL54_11_wcoS,100.00%,100.00%;KL54_12_gmd,100.00%,100.00%;KL54_13_wcaG,100.00%,100.00%;KL54_14_wcaH,100.00%,100.00%;KL54_15_wcaI,99.75%,100.00%;KL54_16_wcaJ,99.79%,100.00%;KL54_17_gnd,99.79%,100.00%;KL54_18_manC,99.58%,100.00%;KL54_19_manB,99.56%,100.00%;KL54_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.14%,99.21%;KL150_19_gmd,99.40%,100.00%		O1/O2v1	O2a	!	98.89%	100.00%	-2 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.19%,100.00%;O1/O2v1_03_wbbM,99.52%,100.00%;O1/O2v1_04_glf,98.18%,100.00%;O1/O2v1_05_wbbN,97.98%,100.00%;O1/O2v1_06_wbbO,98.94%,100.00%;O1/O2v1_07_kfoC,98.40%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,99.79%,100.00%;O3/O3a_02_manB,99.55%,97.39%;Extra_genes_wbbYZ_01_wbbY,99.84%,83.65%,truncated;Extra_genes_wbbYZ_02_wbbZ,99.26%,100.00%	Extra_genes_wbbYZ_01_wbbY,99.84%,83.65%,truncated	ST889	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi117	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-108^	35Q	-	-	-	-	-	ST889	3	1	1	4	3	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ATCC® 21215™	21215					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_21215	Klebsiella variicola subsp. variicola	strong	1	5426490	5426490	5426490	no	-	kpneumoniae	767	KL35	K35		98.13%	100.00%	1 bp	20 / 20 (100.00%)	KL35_01_galF,98.99%,100.00%;KL35_02_cpsACP,94.74%,100.00%;KL35_03_wzi,97.48%,100.00%;KL35_04_wza,99.20%,100.00%;KL35_05_wzb,98.61%,100.00%;KL35_06_wzc,99.17%,100.00%;KL35_07_wzy,98.51%,100.00%;KL35_08_wcuC,97.14%,100.00%;KL35_09_wckM,98.19%,100.00%;KL35_10_wckL,96.25%,100.00%;KL35_11_wcuQ,99.24%,100.00%;KL35_12_wzx,96.67%,100.00%;KL35_13_wckK,98.16%,100.00%;KL35_14_wbaZ,97.66%,100.00%;KL35_15_wcaJ,98.49%,100.00%;KL35_16_wclK,95.28%,100.00%;KL35_17_gnd,99.79%,100.00%;KL35_18_manC,99.58%,100.00%;KL35_19_manB,100.00%,100.00%;KL35_20_ugd,99.48%,100.00%		0		2 / 20 (10.00%)	KL35_18_manC,99.58%,100.00%;KL35_19_manB,99.78%,98.25%	1	KL150_19_gmd,97.90%,100.00%		O3/O3a	O3/O3a		99.85%	100.00%	0 bp	8 / 8 (100.00%)	O3/O3a_01_manC,100.00%,100.00%;O3/O3a_02_manB,100.00%,100.00%;O3/O3a_03_wzm,100.00%,100.00%;O3/O3a_04_wzt,100.00%,100.00%;O3/O3a_05_wbdD,99.15%,100.00%;O3/O3a_06_wbdA,99.88%,100.00%;O3/O3a_07_wbdB,99.74%,100.00%;O3/O3a_08_wbdC,100.00%,100.00%		0		2 / 8 (25.00%)	O3/O3a_01_manC,100.00%,100.00%;O3/O3a_02_manB,99.78%,97.39%	0			ST767	0	0	1	1	-	0	-	0	-	0	-	0	-	0	-	wzi469	-	-	fosA7*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LEN-16^	-	-	-	-	-	-	ST767	60	24	21	53	54	22	172	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ATCC® 23356™	23356					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_23356	Klebsiella pneumoniae	strong	2	5325623	5325623	5399758	no	-	kpneumoniae	10	KL122	Capsule null	!	99.92%	100.00%	0 bp	19 / 19 (100.00%)	KL122_01_galF,100.00%,100.00%;KL122_02_cpsACP,99.52%,100.00%;KL122_03_wzi,99.79%,100.00%;KL122_04_wza,99.74%,100.00%;KL122_05_wzb,100.00%,100.00%;KL122_06_wzc,99.86%,100.00%;KL122_07_wzy,99.75%,100.00%;KL122_08_wcuC,100.00%,100.00%;KL122_09_wckM,100.00%,100.00%;KL122_10_wcuQ,100.00%,100.00%;KL122_11_wcuD,100.00%,100.00%;KL122_12,100.00%,100.00%;KL122_13_wzx,99.76%,100.00%;KL122_14_wbaZ,100.00%,100.00%;KL122_15_wcaJ,100.00%,67.45%,truncated;KL122_16_gnd,100.00%,100.00%;KL122_17_manC,100.00%,100.00%;KL122_18_manB,100.00%,100.00%;KL122_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.59%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,99.39%,98.20%	KL122_15_wcaJ,100.00%,67.45%,truncated	O1/O2v2	O1ab		99.10%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.73%,100.00%;O1/O2v2_04_glf,99.22%,100.00%;O1/O2v2_05_wbbN,98.65%,100.00%;O1/O2v2_06_wbbO,99.73%,100.00%;O1/O2v2_07_kfoC,99.00%,100.00%;O1/O2v2_08_gmlC,97.74%,100.00%;O1/O2v2_09_gmlB,98.77%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	OL104_01_manC,91.30%,100.00%;O5_02_manB,93.24%,96.94%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.59%,100.00%		ST10	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi98	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST10	4	1	7	1	9	1	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ATCC® 23357™	23357					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_23357	Klebsiella pneumoniae	strong	5	5082001	5082001	5134482	no	-	kpneumoniae	276	KL22	K37	!	99.83%	99.99%	0 bp	18 / 18 (100.00%)	KL22_01_galF,99.33%,100.00%;KL22_02_cpsACP,99.04%,100.00%;KL22_03_wzi,99.79%,100.00%;KL22_04_wza,100.00%,100.00%;KL22_05_wzb,100.00%,100.00%;KL22_06_wzc,100.00%,100.00%;KL22_07_wzy,100.00%,100.00%;KL22_08,100.00%,100.00%;KL22_09,99.66%,100.00%;KL22_10_wfeD,99.59%,100.00%;KL22_11_wzx,99.78%,100.00%;KL22_12_rutE,100.00%,100.00%;KL22_13,99.74%,100.00%;KL22_14,100.00%,100.00%;KL22_15_wcaJ,100.00%,100.00%;KL22_16_gnd,100.00%,100.00%;KL22_17,100.00%,55.36%,truncated;KL22_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,96.83%,99.74%;KL150_19_gmd,98.80%,100.00%	KL22_17,100.00%,55.36%,truncated	O1/O2v1	O2a		99.16%	100.00%	-1 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,99.84%,100.00%;O1/O2v1_04_glf,99.48%,100.00%;O1/O2v1_05_wbbN,97.64%,100.00%;O1/O2v1_06_wbbO,97.61%,100.00%;O1/O2v1_07_kfoC,99.54%,100.00%		0		0 / 7 (0.00%)		0			ST276-2LV	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi107	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	fosA7*-15%	-	ST276-2LV	2	1	1	1	1*	4	135	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ATCC® 25955™	25955					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_25955	Klebsiella pneumoniae	strong	2	5108523	5108523	5340910	no	-	kpneumoniae	1271	KL28	Capsule null	!	99.76%	98.78%	1201 bp	19 / 19 (100.00%)	KL28_01_galF,100.00%,100.00%;KL28_02_cpsACP,100.00%,100.00%;KL28_03_wzi,97.69%,100.00%;KL28_04_wza,99.74%,100.00%;KL28_05_wzb,100.00%,100.00%;KL28_06_wzc,100.00%,100.00%;KL28_07_wckC,100.00%,100.00%;KL28_08_wcuC,100.00%,100.00%;KL28_09_wckD,100.00%,100.00%;KL28_10_wzy,100.00%,100.00%;KL28_11_wclS,99.47%,100.00%;KL28_12_wcuE,100.00%,100.00%;KL28_13_wzx,99.76%,100.00%;KL28_14_wbaZ,100.00%,100.00%;KL28_15_wcaJ,100.00%,80.35%,truncated;KL28_16_gnd,100.00%,100.00%;KL28_17_manC,99.79%,100.00%;KL28_18_manB,99.78%,100.00%;KL28_19_ugd,99.23%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,97.57%,100.00%;KL40_04,99.00%,100.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,99.10%,100.00%	KL28_15_wcaJ,100.00%,80.35%,truncated	O1/O2v2	O1ab		99.61%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.59%,100.00%;O1/O2v2_03_wbbM,99.52%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,99.73%,100.00%;O1/O2v2_07_kfoC,99.50%,100.00%;O1/O2v2_08_gmlC,99.79%,100.00%;O1/O2v2_09_gmlB,100.00%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	O3b_01_manC,100.00%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbbYZ_02_wbbZ,99.26%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%		ST1271	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187*	-	-	-	-	-	-	ST1271	2	3	2	2	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ATCC® 27736™	27736					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_27736	Klebsiella pneumoniae	strong	20	5076455	5076455	5442096	no	-	kpneumoniae	27	KL30	K30	+!	97.36%	99.40%	1066 bp	20 / 20 (100.00%)	KL30_01_galF,100.00%,100.00%;KL30_02_cpsACP,99.52%,100.00%;KL30_03_wzi,99.60%,100.00%;KL30_04_wza,100.00%,100.00%;KL30_05_wzb,98.60%,100.00%;KL30_06_wzc,99.45%,100.00%;KL30_07_wcuL,100.00%,100.00%;KL30_08_wzx,99.74%,100.00%;KL30_09_wcuD,97.13%,100.00%;KL30_10_wzy,92.68%,100.00%;KL30_11_wckP,91.99%,100.00%;KL30_12_wckO,93.57%,100.00%;KL30_13_wckN,92.52%,100.00%;KL30_14,94.15%,99.82%;KL30_15_wcuG,92.21%,87.01%,truncated;KL30_16_wcaJ,98.06%,100.00%;KL30_17_gnd,99.36%,100.00%;KL30_18_manC,99.36%,100.00%;KL30_19_manB,99.79%,100.00%;KL30_20_ugd,99.48%,100.00%		1	KL104_18,93.75%,39.34%,truncated	0 / 20 (0.00%)		4	KL40_03_wcpO,97.77%,100.00%;KL40_04,98.76%,100.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,99.10%,100.00%	KL30_15_wcuG,92.21%,87.01%,truncated;KL104_18,93.75%,39.34%,truncated	O1/O2v2	O2afg		99.56%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.59%,100.00%;O1/O2v2_03_wbbM,99.37%,100.00%;O1/O2v2_04_glf,98.70%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,99.73%,100.00%;O1/O2v2_07_kfoC,99.25%,100.00%;O1/O2v2_08_gmlC,100.00%,100.00%;O1/O2v2_09_gmlB,100.00%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		2	O3b_01_manC,99.79%,100.00%;O3/O3a_02_manB,99.55%,97.39%		ST27	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-40	35Q	-	-	-	-	-	ST27	2	1	11	1	9	10	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ATCC® 27799™	27799					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_27799	Klebsiella pneumoniae	strong	8	5381131	5381131	5977425	no	-	kpneumoniae	14	KL2	K2	!	99.84%	100.05%	1339 bp	18 / 18 (100.00%)	KL2_01_galF,100.00%,100.00%;KL2_02_cpsACP,100.00%,100.00%;KL2_03_wzi,100.00%,100.00%;KL2_04_wza,100.00%,100.00%;KL2_05_wzb,100.00%,100.00%;KL2_06_wzc,99.72%,100.00%;KL2_07,99.72%,100.00%;KL2_08,100.00%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,100.00%,100.00%;KL2_12,99.31%,100.00%;KL2_13,100.00%,12.61%,truncated;KL2_13,99.49%,88.29%,truncated;KL2_14_wcaJ,99.57%,100.00%;KL2_15_gnd,99.57%,100.00%;KL2_16_manC,100.00%,100.00%;KL2_17_manB,100.00%,100.00%;KL2_18_ugd,99.74%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.15%,99.74%;KL150_19_gmd,100.00%,100.00%	KL2_13,100.00%,12.61%,truncated;KL2_13,99.49%,88.29%,truncated	O1/O2v1	O1ab		100.00%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,100.00%,100.00%;O1/O2v1_04_glf,100.00%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,100.00%,100.00%;O1/O2v1_07_kfoC,100.00%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.55%,96.52%;Extra_genes_wbbYZ_02_wbbZ,100.00%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%		ST14	0	0	4	12	-	0	-	0	-	0	-	0	-	0	-	wzi2	aadA^;aph(3')-Ia;strA.v1^;strB.v1	-	-	-	-	-	catA13;catA1^	-	sul1;sul2	tet(B).v2*;tet(B).v2*;tetR;tetR	-	-	-	-	-	-	-	SHV-28.v1^	-	OmpK36-77%	-	-	-	-	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ATCC® 29013™	29013					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_29013	Klebsiella variicola subsp. variicola	strong	3	5438296	5438296	5810110	no	-	kpneumoniae	1057	KL9	K9		99.03%	99.94%	-3 bp	19 / 19 (100.00%)	KL9_01_galF,99.66%,100.00%;KL9_02_cpsACP,94.74%,100.00%;KL9_03_wzi,99.40%,100.00%;KL9_04_wza,100.00%,100.00%;KL9_05_wzb,100.00%,100.00%;KL9_06_wzc,99.86%,100.00%;KL9_07_wbaP,99.37%,100.00%;KL9_08,99.01%,100.00%;KL9_09,99.04%,100.00%;KL9_10,98.97%,100.00%;KL9_11,98.62%,100.00%;KL9_12,99.31%,100.00%;KL9_13_wzx,99.05%,100.00%;KL9_14_gnd,99.57%,100.00%;KL9_15_rmlB,99.15%,100.00%;KL9_16_rmlA,98.25%,98.62%;KL9_17_rmlD,98.65%,100.00%;KL9_18_rmlC,98.91%,100.00%;KL9_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		3	KL137_18_manC,100.00%,100.00%;KL150_19_gmd,98.20%,100.00%;KL30_19_manB,99.78%,98.29%		O3/O3a	O3/O3a		99.90%	100.00%	0 bp	8 / 8 (100.00%)	O3/O3a_01_manC,100.00%,100.00%;O3/O3a_02_manB,100.00%,100.00%;O3/O3a_03_wzm,100.00%,100.00%;O3/O3a_04_wzt,100.00%,100.00%;O3/O3a_05_wbdD,99.29%,100.00%;O3/O3a_06_wbdA,99.88%,100.00%;O3/O3a_07_wbdB,100.00%,100.00%;O3/O3a_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		4	O12_01_rfbB,98.30%,99.72%;OL13_02_rfbA,100.00%,100.00%;OL13_03_rfbD,99.32%,100.00%;OL13_04_rfbC,98.34%,98.37%		ST1057	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LEN-9	-	-	-	-	-	-	ST1057	16	24	21	27	47	17	134	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ATCC® 29665™	29665					Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_29665	Klebsiella pneumoniae	strong	2	5256667	5256667	5386865	no	-	kpneumoniae	375	KL2	K2		99.54%	100.00%	1 bp	18 / 18 (100.00%)	KL2_01_galF,99.33%,100.00%;KL2_02_cpsACP,99.04%,100.00%;KL2_03_wzi,98.61%,100.00%;KL2_04_wza,100.00%,100.00%;KL2_05_wzb,100.00%,100.00%;KL2_06_wzc,99.72%,100.00%;KL2_07,99.72%,100.00%;KL2_08,100.00%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,99.17%,100.00%;KL2_12,99.48%,100.00%;KL2_13,99.10%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,98.93%,100.00%;KL2_16_manC,99.36%,100.00%;KL2_17_manB,99.78%,100.00%;KL2_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		4	KL40_03_wcpO,98.17%,99.80%;KL40_04,99.75%,100.00%;KL40_05_rfaG,99.21%,100.00%;KL150_19_gmd,98.20%,100.00%		O1/O2v2	O1ab		99.17%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.59%,100.00%;O1/O2v2_03_wbbM,100.00%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,97.64%,100.00%;O1/O2v2_06_wbbO,99.47%,100.00%;O1/O2v2_07_kfoC,99.25%,100.00%;O1/O2v2_08_gmlC,98.77%,100.00%;O1/O2v2_09_gmlB,98.77%,100.00%;O1/O2v2_10_gmlA,99.20%,100.00%		0		0 / 10 (0.00%)		4	O3/O3a_01_manC,99.58%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%		ST375	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST375	43	1	2	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
