Accession,Genome ID,Genome Name,Genome Length,No. Contigs,Smallest Contig,Largest Contig,Average Contig Length,N50,non-ATCG,GC Content,Organism Name,ST,cgST,LIN code,Sublineage,Clonal Group,species,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,rmpA2,virulence_score,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,K_type,K_locus_confidence,K_locus_problems,K_locus_identity,K_Missing_expected_genes,O_locus,O_type,O_locus_confidence,O_locus_problems,O_locus_identity,O_Missing_expected_genes
GCA_900452505.1,67b44237ce6d6820cf0f535a,GCA_900452505.1_42842_G01_genomic,5387961,2,158739,5229222,2693980,5229222,0,57.4,Klebsiella pneumoniae,505,3722,"0,0,410,0,0,0,0,0,0,0",505,505,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-108,35Q,-,-,-,ESBL and Carb negative,KL64,K64,Typeable,-,99.93%,-,O1/O2v1,O1ab,Typeable,-,99.08%,-
GCA_900451315.1,67b44237ce6d6822d40f5300,GCA_900451315.1_44310_H01_genomic,5589625,7,21253,5009375,798517,5009375,0,56.9,Klebsiella pneumoniae,3764,5350,"0,0,438,1,3,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,iuc 2A,-,"rmp 2A; plasmid/chr (truncated),rmp 2A; plasmid/chr (truncated)",-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.52%,-,O1/O2v1,O1ab,Typeable,!,99.44%,-
GCA_019928025.1,67b44237ce6d6822d70f527c,GCA_019928025.1_ASM1992802v1_genomic,5874465,268,201,305043,21919,94943,0,56.6,Klebsiella pneumoniae,1399,Novel,"0,0,353,0,1,*,*,*,*,*",1731,1731,Klebsiella pneumoniae,ybt 14; ICEKp5,-,iuc 1,-,-,-,iuc and ybt (without clb),TEM-1D.v1^,-,CTX-M-15;SHV-12^,-,-,-,238S;240K;35Q,OmpK35-59%,-,GyrA-83Y,ESBL only,KL43,K43,Typeable,-,99.97%,-,O1/O2v1,O2ac,Typeable,-,98.93%,-
GCA_900451435.1,67b44237ce6d6823480f530a,GCA_900451435.1_32512_E01_genomic,5297680,3,58667,5177600,1765893,5177600,0,57.5,Klebsiella pneumoniae,584,Novel,"0,0,52,4,*,*,*,*,*,*",2004,584,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,SHV-12,-,VIM-1,SHV-168^,146V;238S;240K;35Q,-,-,-,Carb without colistin,KL38,Capsule null,Typeable,!,96.60%,-,O3b,O3b,Typeable,-,99.66%,-
GCA_900451555.1,67b44237ce6d68236a0f5315,GCA_900451555.1_45665_C01_genomic,5663077,4,72007,5153298,1415769,5153298,0,56.8,Klebsiella pneumoniae,82,5344,"0,0,438,1,2,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,iuc 2A,-,rmp 2A; plasmid/chr (truncated),-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.53%,-,O1/O2v1,O1ab,Typeable,!,99.28%,-
GCA_019927645.1,67b44237ce6d68239f0f5269,GCA_019927645.1_ASM1992764v1_genomic,5269856,90,276,467343,58553,185392,0,57.2,Klebsiella pneumoniae,231,Novel,"0,0,88,0,*,*,*,*,*,*",231,231,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,CTX-M-15,-,-,SHV-212*,-,-,-,GyrA-83I;GyrA-87N;ParC-80I,ESBL only,KL51,K51,Typeable,?2!,99.69%,-,O1/O2v2,O1ab,Typeable,?2,98.95%,-
13886,67b44237ce6d68245a0f53f3,Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_13886,5281905,5,10910,5042395,1056381,5042395,0,57.4,Klebsiella pneumoniae,82,3710,"0,0,438,0,0,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,-,-,rmp 2A; plasmid/chr (truncated),-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.54%,-,O1/O2v1,O1ab,Typeable,-,99.28%,-
GCA_900635125.1,67b44237ce6d6824d10f5369,GCA_900635125.1_36252_B01_genomic,5093886,1,5093886,5093886,5093886,5093886,0,57.7,Klebsiella pneumoniae,507,3701,"0,0,256,0,0,0,0,0,0,0",507,507,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL82,Capsule null,Typeable,+!,100.00%,-,O12,O12,Untypeable,-+*!,85.43%,O12_03_rfbD;O12_07_wzt;O12_04_rfbC
51504,67b44237ce6d6825340f5405,Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_51504,5936186,6,16057,5453708,989364,5453708,0,56.7,Klebsiella pneumoniae,Novel,Novel,"0,0,127,5,*,*,*,*,*,*",6,299,Klebsiella pneumoniae,ybt 17; ICEKp10,clb 3,-,-,-,-,clb + ybt (or clb only),OXA-2,-,TEM-10.v2^;TEM-10.v2^;TEM-10.v2^,-,-,SHV-1,-,-,-,GyrA-83Y,ESBL only,KL7,K7,Typeable,-,99.51%,-,O1/O2v1,O1ab,Typeable,-,99.43%,-
BAA-1903,67b44237ce6d68255d0f53c2,Klebsiella_pneumoniae_ATCC_BAA_1903,5643236,4,13841,5343070,1410809,5343070,0,57.2,Klebsiella pneumoniae,418,Novel,"0,0,105,6,0,0,0,*,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,KPC-2,SHV-11,35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL106,unknown (KL106),Typeable,+!,99.97%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
GCA_019928005.1,67b44237ce6d6826300f527b,GCA_019928005.1_ASM1992800v1_genomic,5540613,144,205,318339,38476,105991,0,57.2,Klebsiella pneumoniae,147,1368,"0,0,197,0,4,0,10,0,1,0",147,147,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,CTX-M-15,-,NDM-5;OXA-181,SHV-11^,35Q,OmpK35-76%;OmpK36TD,-,GyrA-83I;ParC-80I,Carb without colistin,KL64,K64,Typeable,-,100.00%,-,O1/O2v1,O2a,Typeable,-,99.03%,-
GCA_019930465.1,67b44237ce6d6829340f52b1,GCA_019930465.1_ASM1993046v1_genomic,5496817,122,203,273537,45055,95332,0,57.3,Klebsiella pneumoniae,261,Novel,"0,0,1124,0,0,1,1,*,*,*",10970,11744,Klebsiella pneumoniae,ybt 16; ICEKp12,-,-,-,-,-,ybt only,LAP-2,-,CTX-M-14,-,-,SHV-142,35Q,-,-,-,ESBL only,KL38,K38,Typeable,!,98.81%,-,O1/O2v2,O2afg,Typeable,-,98.99%,-
BAA-2473,67b44237ce6d6829550f53c9,Klebsiella_pneumoniae_ATCC_BAA_2473,6008759,11,777,3003963,546250,2464088,0,56.9,Klebsiella pneumoniae,14,2771,"0,0,1,1,17,0,0,0,0,0",14,14,Klebsiella pneumoniae,ybt 14; ICEKp5,-,-,-,-,-,ybt only,CMY-4.v1;OXA-1;OXA-9.v1;TEM-1D.v1^,-,CTX-M-15,-,NDM-1,SHV-11^;SHV-28^,35Q,OmpK36GD,-,GyrA-83Y;GyrA-87G;ParC-80I,Carb without colistin,KL2,K2,Typeable,-,99.81%,-,O1/O2v1,O1ab,Typeable,!,100.00%,-
GCA_019930265.1,67b44237ce6d682a800f52a7,GCA_019930265.1_ASM1993026v1_genomic,5559308,134,203,239543,41487,105701,0,57,Klebsiella pneumoniae,394,Novel,"0,0,109,36,1,*,*,*,*,*",37,896,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;TEM-1D.v1^,-,CTX-M-15,-,OXA-48,SHV-11^,35Q,-,-,-,Carb without colistin,KL3,K3,Typeable,?2!,99.71%,-,O1/O2v2,O2afg,Typeable,-,99.07%,-
GCA_900451645.1,67b44237ce6d682af20f531e,GCA_900451645.1_58174_D01_genomic,5389641,29,4414,1218354,185849,284353,0,57,Klebsiella pneumoniae,Novel,5347,"0,0,439,2,0,0,0,1,0,0",91,91,Klebsiella pneumoniae,ybt 10; ICEKp4 (truncated),-,-,-,-,-,ybt only,-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL4,K4,Untypeable,?2-+,99.90%,KL4_19_wzi,O1/O2v1,O2ac,Typeable,!,99.40%,-
GCA_900451825.1,67b44237ce6d682c290f532f,GCA_900451825.1_40400_A01_genomic,5826044,6,14177,5319664,971007,5319664,0,56.7,Klebsiella pneumoniae,91,5359,"0,0,442,2,0,0,0,0,0,0",10031,10296,Klebsiella pneumoniae,ybt 16; ICEKp12 (truncated),-,iuc 2A,-,-,-,iuc and ybt (without clb),-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL5,Capsule null,Typeable,!,99.03%,-,O1/O2v1,O2ac,Typeable,!,99.20%,-
GCA_019930285.1,67b44237ce6d682c4c0f52a8,GCA_019930285.1_ASM1993028v1_genomic,5699246,156,200,386394,36533,142416,0,56.9,Klebsiella pneumoniae,107,Novel,"0,0,80,3,0,0,0,*,*,*",107,10012,Klebsiella pneumoniae,ybt 16; ICEKp12,-,-,-,-,-,ybt only,LAP-2;TEM-1D.v1^,-,CTX-M-14,-,OXA-48,SHV-11^,35Q,-,-,-,Carb without colistin,KL10,K10,Typeable,?2,98.67%,-,O1/O2v1,O1ab,Typeable,-,98.92%,-
GCA_020406995.1,67b44237ce6d682cb80f52b4,GCA_020406995.1_ASM2040699v1_genomic,5819087,145,212,252140,40131,143348,0,56.6,Klebsiella pneumoniae,147,9239,"0,0,197,0,4,1,0,7,0,0",147,147,Klebsiella pneumoniae,ybt 9; ICEKp3,-,iuc 1,-,rmp 1; KpVP-1,rmpA2_6*-47%,iuc and ybt (without clb),OXA-9.v1,-,CTX-M-15,-,NDM-1,SHV-11^,35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL64,K64,Typeable,-,100.00%,-,O1/O2v1,O2a,Typeable,-,98.99%,-
GCA_900451865.1,67b44237ce6d682cde0f5333,GCA_900451865.1_38732_E01_genomic,5439082,4,17581,5256548,1359770,5256548,0,57.3,Klebsiella pneumoniae,375,3699,"0,0,390,0,0,0,0,1,0,0",375,375,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL2,K2,Typeable,-,99.53%,-,O1/O2v2,O1ab,Typeable,-,99.17%,-
GCA_019927905.1,67b44237ce6d682da10f5276,GCA_019927905.1_ASM1992790v1_genomic,5664056,296,204,247028,19135,73599,0,57.2,Klebsiella pneumoniae,3050,Novel,"0,0,418,0,2,*,*,*,*,*",3050,3050,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,CTX-M-14,-,KPC-2,SHV-1^,-,-,-,GyrA-83Y;GyrA-87A;ParC-80I,Carb without colistin,KL36,K36,Typeable,-,99.97%,-,O4,O4,Typeable,-,99.60%,-
GCA_019928585.1,67b44237ce6d682dea0f5297,GCA_019928585.1_ASM1992858v1_genomic,5303731,110,202,324328,48215,154231,0,57.5,Klebsiella pneumoniae,1440,Novel,"0,0,22,30,1,*,*,*,*,*",17,1440,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL19,K19,Typeable,-,98.03%,-,O1/O2v2,O2afg,Typeable,-,98.95%,-
GCA_040270875.1,67b44237ce6d682f920f52c1,GCA_040270875.1_ASM4027087v1_genomic,5588703,91,1013,560065,61414,153558,1320,57.2,Klebsiella pneumoniae,11,29139,"0,0,105,11,0,0,0,5,7,0",258,3666,Klebsiella pneumoniae,ybt 15; ICEKp11,-,-,-,-,-,ybt only,-,-,CTX-M-15,-,NDM-1,SHV-11,35Q,-,-,GyrA-83F;GyrA-87A;ParC-80I,Carb without colistin,KL24,K24,Typeable,?2,99.98%,-,O1/O2v1,O2a,Typeable,?2,99.29%,-
GCA_040271525.1,67b44237ce6d682fed0f52d1,GCA_040271525.1_ASM4027152v1_genomic,5452710,102,1013,430191,53457,173517,720,57.3,Klebsiella pneumoniae,11,29768,"0,0,105,0,3,0,53,2,1,0",258,340,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,KPC-2,SHV-11,35Q,-,MgrB-81%,GyrA-83I;ParC-80I,Carb with colistin,KL105,Capsule null,Typeable,-!,100.00%,KL105_02_cpsACP;KL105_04_wza;KL105_01_galF;KL105_03_wzi,O1/O2v2,O2afg,Typeable,-,98.90%,-
GCA_900452115.1,67b44237ce6d682ff90f534a,GCA_900452115.1_36252_A01_genomic,5449135,3,24040,5283816,1816378,5283816,0,57.4,Klebsiella pneumoniae,3757,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-222*,-,OmpK36-81%,-,-,ESBL and Carb negative,KL35,Capsule null,Typeable,!,99.86%,-,O5,O5,Typeable,!,98.15%,-
BAA-3076,67b44237ce6d6830cc0f53e4,Klebsiella_pneumoniae_ATCC_BAA_3076,5976791,11,229,5376036,543344,5376036,0,56.6,Klebsiella pneumoniae,258,Novel,"0,0,105,6,0,0,0,*,*,*",258,258,Klebsiella pneumoniae,ybt 13; ICEKp2,-,-,-,-,-,ybt only,CMY-13;TEM-1D.v1^,-,SHV-12,-,KPC-2;VIM-1,SHV-11^,238S;240K;35Q;35Q,OmpK35-25%;OmpK36GD,MgrB-60%,GyrA-83I;ParC-80I,Carb with colistin,KL106,unknown (KL106),Typeable,+!,99.99%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
GCA_045261475.1,67b44237ce6d6831c10f52db,GCA_045261475.1_ASM4526147v1_genomic,5188443,130,201,827554,39911,323777,380,57.6,Klebsiella pneumoniae,2459,Novel,"0,0,69,2,*,*,*,*,*,*",846,10640,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1,-,-,-,-,ESBL and Carb negative,KL125,unknown (KL125),Typeable,-,93.57%,-,O3b,O3b,Typeable,-,99.78%,-
GCA_900451395.1,67b44237ce6d68344d0f5306,GCA_900451395.1_58174_C01_genomic,5532074,14,15120,2253501,395148,900876,0,57.4,Klebsiella pneumoniae,3767,3708,"0,0,381,0,0,0,0,0,0,0",3767,3767,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-161*,-,-,-,-,ESBL and Carb negative,KL43,K43,Typeable,-,99.69%,-,O1/O2v1,O2a,Typeable,!,99.24%,-
GCA_019928345.1,67b44237ce6d68347b0f528b,GCA_019928345.1_ASM1992834v1_genomic,5494656,137,201,336368,40106,158635,0,57.1,Klebsiella pneumoniae,44,Novel,"0,0,79,0,0,*,*,*,*,*",44,44,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-9.v1,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL57,K57,Typeable,-,99.54%,-,O1/O2v2,O1ab,Typeable,-,99.02%,-
GCA_019927925.1,67b44237ce6d6835090f5277,GCA_019927925.1_ASM1992792v1_genomic,5287400,107,203,331393,49414,123114,0,57.4,Klebsiella pneumoniae,22,Novel,"0,0,23,1,30,0,0,0,*,*",22,22,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,-,ESBL only,KL9,K9,Typeable,-,99.98%,-,O1/O2v2,O2afg,Typeable,!,99.07%,-
27736,67b44237ce6d6835ea0f53f9,Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_27736,5442096,20,127,5076455,272104,5076455,0,57,Klebsiella pneumoniae,27,Novel,"0,0,35,1,*,*,*,*,*,*",27,27,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-40,35Q,-,-,-,ESBL and Carb negative,KL30,K30,Typeable,+!,97.36%,-,O1/O2v2,O2afg,Typeable,-,99.56%,-
BAA-2783,67b44237ce6d6836010f53cb,Klebsiella_pneumoniae_ATCC_BAA_2783,5946842,26,283,4545013,228724,4545013,0,56.9,Klebsiella pneumoniae,16,Novel,"0,0,22,27,0,0,0,*,*,*",17,16,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;OXA-2;SCO-1;TEM-1D.v1^,-,CTX-M-15;CTX-M-2,-,-,SHV-1,-,OmpK35-80%;OmpK36-65%,-,GyrA-83F;GyrA-87N;ParC-84K,ESBL only,KL51,K51,Typeable,!,100.00%,-,O3b,O3b,Typeable,!,99.61%,-
GCA_900451815.1,67b44237ce6d68375e0f532e,GCA_900451815.1_39111_D02_genomic,5633865,2,127918,5505947,2816932,5505947,0,57.2,Klebsiella pneumoniae,1227,5358,"0,0,444,0,0,0,0,0,0,0",10033,10295,Klebsiella pneumoniae,ybt 16; ICEKp12,-,-,-,-,-,ybt only,-,-,-,-,-,SHV-210,-,-,-,-,ESBL and Carb negative,KL14,K14,Typeable,-,99.91%,-,O5,O5,Typeable,-,98.21%,-
BAA-3078,67b44237ce6d68377e0f53e6,Klebsiella_pneumoniae_ATCC_BAA_3078,5525115,8,134,5007616,690639,5007616,0,57.3,Klebsiella pneumoniae,323,Novel,"0,0,363,1,2,1,0,*,*,*",323,323,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;TEM-1D.v1^,-,CTX-M-15;CTX-M-15,-,-,SHV-1^,-,-,-,-,ESBL only,KL21,K21,Typeable,-,100.00%,-,O3b,O3b,Typeable,-,99.68%,-
GCA_900452485.1,67b44237ce6d6837c60f5359,GCA_900452485.1_37554_C01_genomic,5509091,2,190021,5319070,2754545,5319070,0,57.3,Klebsiella pneumoniae,29,Novel,"0,0,137,*,*,*,*,*,*,*",29,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-11^,35Q,-,MgrB-51%,-,ESBL and Carb negative,KL8,Capsule null,Untypeable,*!,98.90%,-,O1/O2v2,O1ab,Typeable,!,98.49%,-
GCA_040270525.1,67b44237ce6d6837ef0f52ba,GCA_040270525.1_ASM4027052v1_genomic,5802463,70,1005,466170,82892,180612,1400,56.6,Klebsiella pneumoniae,14,Novel,"0,0,1,1,31,2,0,*,*,*",14,14,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,OXA-48,SHV-28^,-,-,-,-,Carb without colistin,KL2,K2,Typeable,-,99.84%,-,O1/O2v1,O1ab,Typeable,-,100.00%,-
GCA_019930125.1,67b44237ce6d6838270f52a0,GCA_019930125.1_ASM1993012v1_genomic,5226467,119,205,240760,43919,126527,0,57.5,Klebsiella pneumoniae,2202,Novel,"0,0,492,1,1,*,*,*,*,*",10337,12065,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL14,K14,Typeable,?3,100.00%,-,O3b,O3b,Typeable,?4,99.80%,-
GCA_040271365.1,67b44237ce6d68385e0f52cc,GCA_040271365.1_ASM4027136v1_genomic,5470868,90,1096,456285,60787,125281,0,57.1,Klebsiella pneumoniae,15,Novel,"0,0,0,0,2,0,0,*,*,*",15,15,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1,-,CTX-M-15,-,-,SHV-28^,-,OmpK35-67%,-,GyrA-83F;GyrA-87A;ParC-80I,ESBL only,KL24,K24,Typeable,?3!,99.83%,-,O1/O2v1,O1ab,Typeable,!,99.14%,-
BAA-1902,67b44237ce6d6839400f53c1,Klebsiella_pneumoniae_ATCC_BAA_1902,5856424,19,131,5383199,308232,5383199,0,57,Klebsiella pneumoniae,418,Novel,"0,0,105,6,0,0,17,*,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-9.v1;TEM-1D.v1^,-,SHV-12,-,KPC-3,SHV-11^,238S;240K;35Q;35Q,OmpK35-25%;OmpK36-17%,-,GyrA-83I;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,-,99.97%,-,OL13,O13,Untypeable,-,98.26%,OL13_06_wzm;OL13_09_glycosylhydrolase;OL13_08_wbbB;OL13_05_wbbL;OL13_07_wzt
GCA_040271385.1,67b44237ce6d683a350f52ce,GCA_040271385.1_ASM4027138v1_genomic,5558016,67,1012,440527,82955,234663,1810,57.2,Klebsiella pneumoniae,23,Novel,"0,0,429,0,1,*,*,*,*,*",23,23,Klebsiella pneumoniae,ybt 1; ICEKp10,clb 2,iuc 1,iro 1,rmp 1; KpVP-1 (truncated),rmpA2_6-60%,"iuc, ybt and clb",-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.98%,-,O1/O2v2,O1ab,Typeable,-,99.33%,-
GCA_900451385.1,67b44237ce6d683a430f5305,GCA_900451385.1_45709_E01_genomic,5522819,5,40908,5007443,1104563,5007443,0,57,Klebsiella pneumoniae,82,5342,"0,0,438,1,1,0,0,0,0,0",82,82,Klebsiella pneumoniae,-,-,iuc 2A,-,rmp 2A; plasmid/chr,-,iuc (without ybt or clb),-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,-,99.51%,-,O1/O2v1,O1ab,Typeable,!,99.28%,-
GCA_901420815.1,67b44237ce6d683ad20f5387,GCA_901420815.1_39641_D01_genomic,5683749,4,16276,5250539,1420937,5250539,0,56.9,Klebsiella pneumoniae,560,Novel,"0,0,23,*,*,*,*,*,*,*",22,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-26,-,OmpK36_c25t,-,-,ESBL and Carb negative,KL9,K9,Typeable,!,99.97%,-,O1/O2v2,O2afg,Typeable,!,98.89%,-
BAA-2814,67b44237ce6d683b460f53d3,Klebsiella_pneumoniae_ATCC_BAA_2814,5822330,10,107,5437548,582233,5437548,0,57,Klebsiella pneumoniae,512,1972,"0,0,105,6,0,0,17,53,0,0",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,KPC-3,SHV-11,35Q,OmpK35-25%;OmpK36GD,-,GyrA-83I;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,-,99.99%,-,O1/O2v2,O2afg,Typeable,-,99.07%,-
GCA_900707015.1,67b44237ce6d683bdf0f5375,GCA_900707015.1_38187_C01_genomic,5503293,7,2696,5260299,786184,5260299,0,57.1,Klebsiella pneumoniae,692,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL147,unknown (KL147),Typeable,-,99.96%,-,O1/O2v2,O1ab,Typeable,-,99.27%,-
GCA_045261675.1,67b44237ce6d683c100f52e5,GCA_045261675.1_ASM4526167v1_genomic,5401664,154,514,348212,35075,94981,0,57.3,Klebsiella pneumoniae,26,Novel,"0,0,42,6,*,*,*,*,*,*",3010,26,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-36,35Q,-,-,-,ESBL and Carb negative,KL10,K10,Typeable,?2,99.86%,-,O1/O2v2,O1ab,Typeable,-,99.63%,-
BAA-2524,67b44237ce6d683d0e0f5409,Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_BAA_2524,5632425,6,2426,5355170,938737,5355170,0,56.9,Klebsiella pneumoniae,45,Novel,"0,0,158,8,11,*,*,*,*,*",45,45,Klebsiella pneumoniae,ybt 10; ICEKp4,-,-,-,-,-,ybt only,TEM-1D.v1^,-,-,-,OXA-48,SHV-1,-,-,-,-,Carb without colistin,KL52,K52,Typeable,!,98.90%,-,OL13,O13,Typeable,!,96.50%,-
GCA_040271415.1,67b44237ce6d683d560f52cf,GCA_040271415.1_ASM4027141v1_genomic,5459059,60,1019,382792,90984,166738,1410,57.2,Klebsiella pneumoniae,15,Novel,"0,0,0,0,2,0,0,*,*,*",15,15,Klebsiella pneumoniae,ybt 16; ICEKp12,-,-,-,-,-,ybt only,-,-,CTX-M-15,-,NDM-1,SHV-28^,-,-,-,GyrA-83F;GyrA-87A;ParC-80I,Carb without colistin,KL112,unknown (KL112),Typeable,-,99.53%,-,O1/O2v1,O1ab,Typeable,-,99.19%,-
GCA_900451635.1,67b44237ce6d683d760f531d,GCA_900451635.1_32512_G01_genomic,5636982,6,4719,5520382,939497,5520382,0,57.1,Klebsiella pneumoniae,353,Novel,"0,0,111,*,*,*,*,*,*,*",353,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,OXA-48,SHV-11^,35Q,-,-,-,Carb without colistin,KL110,unknown (KL110),Typeable,!,99.22%,-,O3b,O3b,Typeable,!,99.60%,-
GCA_900451705.1,67b44237ce6d683df10f5323,GCA_900451705.1_37554_A01_genomic,5484860,7,14917,5055574,783551,5055574,0,56.7,Klebsiella pneumoniae,3768,5356,"0,0,439,3,1,0,0,0,0,0",91,91,Klebsiella pneumoniae,ybt 10; ICEKp4 (truncated),-,iuc 2A,-,-,-,iuc and ybt (without clb),-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL4,K4,Untypeable,+!,99.86%,-,O1/O2v1,O2a,Typeable,!,99.49%,-
GCA_019930425.1,67b44237ce6d683edc0f52af,GCA_019930425.1_ASM1993042v1_genomic,5448325,157,200,409450,34702,143906,0,57.1,Klebsiella pneumoniae,1787,Novel,"0,0,424,0,*,*,*,*,*,*",1787,1787,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11^,35Q,-,-,-,ESBL only,KL148,unknown (KL148),Typeable,-,100.00%,-,O1/O2v2,O1ab,Typeable,-,99.14%,-
GCA_901420375.1,67b44237ce6d683f4d0f537b,GCA_901420375.1_37277_D01_genomic,5540627,4,3516,5460462,1385156,5460462,0,57.4,Klebsiella pneumoniae,985,Novel,"0,0,137,*,*,*,*,*,*,*",29,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-187,-,-,-,-,ESBL and Carb negative,KL39,Capsule null,Typeable,+!,99.79%,-,O1/O2v2,O1ab,Typeable,!,89.73%,-
GCA_900452195.1,67b44237ce6d683fef0f5352,GCA_900452195.1_36603_F01_genomic,6016889,7,15425,5324915,859555,5324915,0,56.7,Klebsiella pneumoniae,3758,Novel,"0,0,46,*,*,*,*,*,*,*",76,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL61,Capsule null,Typeable,!,96.89%,-,O3/O3a,O3/O3a,Typeable,!,99.85%,-
