Assembly	Best match locus	Best match type	Confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details
GCA_900451215.1_44310_G01_genomic	KL1	K1	Typeable	!	99.54%	99.99%	-2 bp	20 / 20 (100.00%)	KL1_01_galF,99.33%,100.00%;KL1_02_cpsACP,96.65%,100.00%;KL1_03_wzi,99.62%,57.44%,truncated;KL1_04_wza,100.00%,100.00%;KL1_05_wzb,100.00%,100.00%;KL1_06_wzc,98.31%,100.00%;KL1_07_wzx,99.77%,100.00%;KL1_08_wclY,99.72%,100.00%;KL1_09_wzy,100.00%,100.00%;KL1_10_wcsS,99.73%,100.00%;KL1_11_wcsT,99.41%,100.00%;KL1_12_gmd,100.00%,100.00%;KL1_13_wcaG,99.42%,100.00%;KL1_14_wcaH,100.00%,100.00%;KL1_15_wcaI,99.75%,100.00%;KL1_16_wcaJ,99.36%,100.00%;KL1_17_gnd,100.00%,100.00%;KL1_18_manC,100.00%,100.00%;KL1_19_manB,99.78%,100.00%;KL1_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,97.89%,99.74%;KL150_19_gmd,99.40%,100.00%	KL1_03_wzi,99.62%,57.44%,truncated
GCA_900451235.1_36340_F02_genomic	KL74	K74	Untypeable	-+!	97.49%	40.42%	15021 bp	6 / 19 (31.58%)	KL74_03_wzi,81.00%,78.91%,truncated,below_id_threshold;KL74_15_wcoW,100.00%,13.07%,truncated;KL74_16_gnd,99.79%,100.00%;KL74_17_manC,99.36%,100.00%;KL74_17_manC,100.00%,100.00%;KL74_18_manB,99.77%,95.18%;KL74_18_manB,100.00%,100.00%;KL74_19_ugd,100.00%,100.00%	KL74_01_galF;KL74_02_cpsACP;KL74_04_wza;KL74_05_wzb;KL74_06_wzc;KL74_07_wbaP;KL74_08_wcuD;KL74_09_wcuE;KL74_10_wbaZ;KL74_11_wzy;KL74_12;KL74_13_wzx;KL74_14_wcuL	1	KL150_19_gmd,85.93%,97.90%	0 / 19 (0.00%)		0		KL74_03_wzi,81.00%,78.91%,truncated,below_id_threshold;KL74_15_wcoW,100.00%,13.07%,truncated
GCA_900451245.1_46582_E01_genomic	KL1	K1	Typeable	?2-!	97.04%	82.60%	n/a	17 / 20 (85.00%)	KL1_01_galF,99.66%,100.00%;KL1_02_cpsACP,94.74%,100.00%;KL1_03_wzi,98.32%,100.00%;KL1_04_wza,100.00%,100.00%;KL1_05_wzb,100.00%,100.00%;KL1_06_wzc,99.02%,100.14%;KL1_07_wzx,96.74%,100.00%;KL1_08_wclY,96.63%,100.00%;KL1_09_wzy,100.00%,12.25%,partial;KL1_13_wcaG,95.03%,93.06%,partial;KL1_14_wcaH,82.98%,61.84%,truncated;KL1_15_wcaI,90.07%,99.75%;KL1_16_wcaJ,98.50%,100.00%;KL1_17_gnd,99.57%,100.00%;KL1_18_manC,99.15%,100.00%;KL1_19_manB,99.78%,100.00%;KL1_20_ugd,99.48%,100.00%	KL1_10_wcsS;KL1_11_wcsT;KL1_12_gmd	0		2 / 20 (10.00%)	KL1_18_manC,99.36%,100.00%;KL1_19_manB,99.55%,98.25%	1	KL150_19_gmd,97.90%,100.00%	KL1_14_wcaH,82.98%,61.84%,truncated
GCA_900451255.1_32473_E02_genomic	KL27	K27	Untypeable	-+*!	87.28%	82.33%	1328 bp	14 / 18 (77.78%)	KL27_03_wzi,92.09%,94.99%,truncated;KL27_04_wza,93.14%,100.00%;KL27_05_wzb,91.72%,100.00%;KL27_06_wzc,89.74%,100.00%;KL27_07_wcaJ,90.51%,100.00%;KL27_10_wckR,76.92%,97.69%,below_id_threshold;KL27_11_wzy,86.78%,42.13%,truncated;KL27_12_wzx,90.05%,81.84%,truncated;KL27_13_wckQ,77.65%,99.25%,below_id_threshold;KL27_14_wcuJ,87.16%,99.10%;KL27_15_wctE,76.27%,98.66%,below_id_threshold;KL27_16_wctF,75.54%,98.48%,below_id_threshold;KL27_17_gnd,98.28%,99.15%;KL27_18_ugd,96.10%,99.23%	KL27_01_galF;KL27_02_cpsACP;KL27_08_wckI;KL27_09_wckS	2	KL74_01_galF,99.67%,100.00%;KL74_02_cpsACP,98.56%,100.00%	0 / 18 (0.00%)		3	KL169_16_manC,100.00%,100.00%;KL74_18_manB,99.54%,95.18%;KL150_19_gmd,85.93%,97.90%	KL27_03_wzi,92.09%,94.99%,truncated;KL27_11_wzy,86.78%,42.13%,truncated;KL27_12_wzx,90.05%,81.84%,truncated
GCA_900451275.1_36672_F01_genomic	KL13	Capsule null	Typeable	!	97.77%	100.08%	1338 bp	19 / 19 (100.00%)	KL13_01_galF,99.67%,100.00%;KL13_02_cpsACP,98.91%,100.00%;KL13_03_wzi,100.00%,40.87%,truncated;KL13_04_wza,99.70%,89.42%,truncated;KL13_05_wzb,100.00%,100.00%;KL13_06_wzc,100.00%,9.42%,truncated;KL13_07_wcuD,99.28%,72.97%,truncated;KL13_08_wclX,98.12%,43.15%,truncated;KL13_09_wzy,83.13%,21.29%,truncated;KL13_10_wcuF,81.82%,5.01%,truncated,below_id_threshold;KL13_11_wzx,99.13%,74.74%,truncated;KL13_12_wcuL,100.00%,11.39%,truncated;KL13_13_wcoW,98.99%,61.77%,truncated;KL13_14,97.62%,8.90%,truncated;KL13_15_wcaJ,100.00%,69.46%,truncated;KL13_15_wcaJ,100.00%,11.61%,truncated;KL13_16_gnd,100.00%,100.00%;KL13_17_manC,99.51%,48.62%,truncated;KL13_18_manB,99.57%,100.00%;KL13_19_ugd,100.00%,100.00%		0		1 / 19 (5.26%)	KL13_17_manC,98.25%,60.72%,truncated	3	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.43%,100.00%;KL150_19_gmd,99.10%,100.00%	KL13_03_wzi,100.00%,40.87%,truncated;KL13_04_wza,99.70%,89.42%,truncated;KL13_06_wzc,100.00%,9.42%,truncated;KL13_07_wcuD,99.28%,72.97%,truncated;KL13_08_wclX,98.12%,43.15%,truncated;KL13_09_wzy,83.13%,21.29%,truncated;KL13_10_wcuF,81.82%,5.01%,truncated,below_id_threshold;KL13_11_wzx,99.13%,74.74%,truncated;KL13_12_wcuL,100.00%,11.39%,truncated;KL13_13_wcoW,98.99%,61.77%,truncated;KL13_14,97.62%,8.90%,truncated;KL13_15_wcaJ,100.00%,69.46%,truncated;KL13_15_wcaJ,100.00%,11.61%,truncated;KL13_17_manC,99.51%,48.62%,truncated;KL13_17_manC,98.25%,60.72%,truncated;KL50_09_wzx,100.00%,22.54%,truncated
GCA_900451285.1_52313_E01_genomic	KL2	K2	Typeable	!	98.65%	100.00%	0 bp	18 / 18 (100.00%)	KL2_01_galF,99.33%,100.00%;KL2_02_cpsACP,99.04%,100.00%;KL2_03_wzi,98.61%,100.00%;KL2_04_wza,100.00%,100.00%;KL2_05_wzb,100.00%,100.00%;KL2_06_wzc,99.72%,100.00%;KL2_07,99.72%,100.00%;KL2_08,100.00%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,99.17%,100.00%;KL2_12,83.33%,2.25%,truncated;KL2_13,99.10%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,98.93%,100.00%;KL2_16_manC,99.36%,100.00%;KL2_17_manB,99.78%,100.00%;KL2_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		3	KL40_04,99.75%,100.00%;KL40_05_rfaG,99.21%,100.00%;KL150_19_gmd,98.20%,100.00%	KL2_12,83.33%,2.25%,truncated
GCA_900451315.1_44310_H01_genomic	KL1	K1	Typeable		99.52%	100.00%	-1 bp	20 / 20 (100.00%)	KL1_01_galF,99.33%,100.00%;KL1_02_cpsACP,96.65%,100.00%;KL1_03_wzi,99.58%,100.00%;KL1_04_wza,100.00%,100.00%;KL1_05_wzb,100.00%,100.00%;KL1_06_wzc,98.17%,100.00%;KL1_07_wzx,99.77%,100.00%;KL1_08_wclY,99.72%,100.00%;KL1_09_wzy,100.00%,100.00%;KL1_10_wcsS,99.73%,100.00%;KL1_11_wcsT,99.41%,100.00%;KL1_12_gmd,100.00%,100.00%;KL1_13_wcaG,99.42%,100.00%;KL1_14_wcaH,100.00%,100.00%;KL1_15_wcaI,99.75%,100.00%;KL1_16_wcaJ,99.36%,100.00%;KL1_17_gnd,99.79%,100.00%;KL1_18_manC,100.00%,100.00%;KL1_19_manB,99.78%,100.00%;KL1_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,97.89%,99.74%;KL150_19_gmd,99.40%,100.00%	
GCA_900451325.1_37419_B02_genomic	KL145	Capsule null	Untypeable	-+*!	96.21%	57.24%	423 bp	12 / 23 (52.17%)	KL145_01_galF,100.00%,100.00%;KL145_02_cpsACP,98.09%,100.00%;KL145_03_wzi,99.63%,60.80%,truncated;KL145_04_wza,94.15%,45.24%,truncated;KL145_06_wzc,79.75%,99.86%,below_id_threshold;KL145_07_wbaP,86.79%,89.26%,truncated;KL145_18_gnd,99.79%,100.00%;KL145_19_rmlB,99.15%,100.00%;KL145_20_rmlA,97.94%,67.47%,truncated;KL145_21_rmlD,100.00%,100.00%;KL145_22_rmlC,100.00%,100.00%;KL145_23_ugd,99.23%,100.00%	KL145_05_wzb;KL145_08;KL145_09_wclI;KL145_10_wcuR;KL145_11_wckF;KL145_12;KL145_13_wzy;KL145_14_wcuM;KL145_15;KL145_16_wcuH;KL145_17_wzx	1	KL64_04_wza,93.88%,51.85%,truncated	0 / 23 (0.00%)		1	KL150_19_gmd,86.85%,97.90%	KL145_03_wzi,99.63%,60.80%,truncated;KL145_04_wza,94.15%,45.24%,truncated;KL145_07_wbaP,86.79%,89.26%,truncated;KL145_20_rmlA,97.94%,67.47%,truncated;KL64_04_wza,93.88%,51.85%,truncated
GCA_900451335.1_32473_A01_genomic	KL47	Capsule null	Untypeable	-+*!	89.46%	84.09%	-2999 bp	15 / 19 (78.95%)	KL47_03_wzi,92.50%,50.73%,truncated;KL47_04_wza,91.53%,100.00%;KL47_05_wzb,91.72%,100.00%;KL47_06_wzc,95.89%,10.11%,truncated;KL47_07_wcaJ,83.02%,14.74%,truncated;KL47_08_wcaA,83.39%,99.34%;KL47_09,72.15%,43.89%,truncated,below_id_threshold;KL47_11_wzy,88.46%,100.00%;KL47_12_wcuT,70.25%,98.59%,below_id_threshold;KL47_13_wzx,100.00%,3.36%,truncated;KL47_14_gnd,98.07%,99.57%;KL47_15_rmlB,93.73%,99.15%;KL47_16_rmlA,94.74%,98.62%;KL47_17_rmlD,89.53%,100.00%;KL47_19_ugd,96.88%,98.97%	KL47_01_galF;KL47_02_cpsACP;KL47_10_wcqC;KL47_18_rmlC	1	KL41_22_rmlC,100.00%,100.00%	0 / 19 (0.00%)		3	KL26_01_galF,99.60%,87.67%,truncated;KL29_02_cpsACP,96.10%,100.00%;KL150_19_gmd,84.43%,100.00%	KL47_03_wzi,92.50%,50.73%,truncated;KL47_06_wzc,95.89%,10.11%,truncated;KL47_07_wcaJ,83.02%,14.74%,truncated;KL47_09,72.15%,43.89%,truncated,below_id_threshold;KL47_13_wzx,100.00%,3.36%,truncated;KL26_01_galF,99.60%,87.67%,truncated
GCA_900451355.1_44787_B01_genomic	KL3	K3	Typeable	!	99.64%	100.00%	-1 bp	19 / 19 (100.00%)	KL3_01_galF,99.66%,100.00%;KL3_02_cpsACP,97.13%,90.87%,truncated;KL3_03_wzi,100.00%,100.00%;KL3_04_wza,100.00%,100.00%;KL3_05_wzb,100.00%,100.00%;KL3_06_wzc,99.58%,100.00%;KL3_07_wcaJ,100.00%,100.00%;KL3_08,100.00%,100.00%;KL3_09,99.70%,100.00%;KL3_10_pglJ,100.00%,100.00%;KL3_11,99.18%,100.00%;KL3_12,99.74%,100.00%;KL3_13_wzx,99.58%,100.00%;KL3_14,99.75%,100.00%;KL3_15_wbaZ,100.00%,100.00%;KL3_16_gnd,99.79%,100.00%;KL3_17_manC,99.79%,100.00%;KL3_18_manB,99.56%,100.00%;KL3_19_ugd,99.74%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.94%,99.74%;KL150_19_gmd,98.80%,100.00%	KL3_02_cpsACP,97.13%,90.87%,truncated
GCA_900451375.1_32473_G02_genomic	KL150	Capsule null	Untypeable	?2-+*!	91.16%	28.07%	n/a	6 / 21 (28.57%)	KL150_01_galF,94.18%,70.27%,truncated;KL150_02_cpsACP,80.00%,98.04%,below_id_threshold;KL150_03_wzi,97.62%,12.53%,truncated;KL150_04_wza,90.82%,26.98%,truncated;KL150_19_gmd,86.85%,97.90%;KL150_21_ugd,97.48%,89.18%,partial	KL150_05_wzb;KL150_06_wzc;KL150_07_wbaP;KL150_08;KL150_09_wcaN;KL150_10;KL150_11;KL150_12;KL150_13;KL150_14;KL150_15_wzx;KL150_16;KL150_17_gnd;KL150_18;KL150_20_manC	2	KL102_05_wzb,96.30%,37.50%,truncated;KL102_06_wzc,94.83%,40.33%,partial	0 / 21 (0.00%)		1	KL44_03_wzi,82.83%,64.15%,truncated	KL150_01_galF,94.18%,70.27%,truncated;KL150_03_wzi,97.62%,12.53%,truncated;KL150_04_wza,90.82%,26.98%,truncated;KL102_05_wzb,96.30%,37.50%,truncated;KL44_03_wzi,82.83%,64.15%,truncated
GCA_900451385.1_45709_E01_genomic	KL1	K1	Typeable		99.51%	100.00%	-1 bp	20 / 20 (100.00%)	KL1_01_galF,99.33%,100.00%;KL1_02_cpsACP,96.17%,100.00%;KL1_03_wzi,99.58%,100.00%;KL1_04_wza,100.00%,100.00%;KL1_05_wzb,100.00%,100.00%;KL1_06_wzc,98.17%,100.00%;KL1_07_wzx,99.77%,100.00%;KL1_08_wclY,99.72%,100.00%;KL1_09_wzy,100.00%,100.00%;KL1_10_wcsS,99.73%,100.00%;KL1_11_wcsT,99.41%,100.00%;KL1_12_gmd,100.00%,100.00%;KL1_13_wcaG,99.42%,100.00%;KL1_14_wcaH,100.00%,100.00%;KL1_15_wcaI,99.75%,100.00%;KL1_16_wcaJ,99.57%,100.00%;KL1_17_gnd,99.79%,100.00%;KL1_18_manC,100.00%,100.00%;KL1_19_manB,99.78%,100.00%;KL1_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,97.89%,99.74%;KL150_19_gmd,99.40%,100.00%	
GCA_900451395.1_58174_C01_genomic	KL43	K43	Typeable		99.69%	100.00%	1199 bp	19 / 19 (100.00%)	KL43_01_galF,99.66%,100.00%;KL43_02_cpsACP,100.00%,100.00%;KL43_03_wzi,99.79%,100.00%;KL43_04_wza,100.00%,100.00%;KL43_05_wzb,99.31%,100.00%;KL43_06_wzc,99.72%,100.00%;KL43_07_wcaJ,100.00%,100.00%;KL43_08_wcuO,100.00%,100.00%;KL43_09_wzy,99.73%,100.00%;KL43_10_wcpY,99.50%,100.00%;KL43_11_wcuE,99.70%,100.00%;KL43_12_wbaZ,99.74%,100.00%;KL43_13_wcuV,99.09%,100.00%;KL43_14_wzx,99.79%,100.00%;KL43_15_wcpZ,99.44%,100.00%;KL43_16_gnd,99.36%,100.00%;KL43_17_manC,100.00%,100.00%;KL43_18_manB,100.00%,100.00%;KL43_19_ugd,99.23%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,97.82%,96.58%;KL150_19_gmd,98.50%,100.00%	
GCA_900451405.1_31885_D02_genomic	KL149	unknown (KL149)	Typeable	!	99.25%	99.93%	-1 bp	20 / 20 (100.00%)	KL149_01_galF,99.66%,100.00%;KL149_02_cpsACP,98.09%,100.00%;KL149_03_wzi,99.58%,100.00%;KL149_04_wza,99.20%,100.00%;KL149_05_wzb,100.00%,100.00%;KL149_06_wzc,99.86%,100.00%;KL149_07_wcaJ,100.00%,100.00%;KL149_08,99.45%,100.00%;KL149_09,100.00%,100.00%;KL149_10_wzx,99.58%,100.00%;KL149_11,98.43%,76.32%,truncated;KL149_12,100.00%,100.00%;KL149_13,97.10%,60.39%,truncated;KL149_14,98.63%,20.38%,truncated;KL149_15_gnd,99.57%,100.00%;KL149_16_rmlB,100.00%,100.00%;KL149_17_rmlA,97.89%,98.62%;KL149_18_rmlD,99.32%,100.00%;KL149_19_rmlC,98.91%,100.00%;KL149_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		5	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.24%,100.00%;KL39_18_manC,99.79%,100.00%;KL49_18_manB,99.78%,98.29%;KL150_19_gmd,99.70%,100.00%	KL149_11,98.43%,76.32%,truncated;KL149_13,97.10%,60.39%,truncated;KL149_14,98.63%,20.38%,truncated;KL50_09_wzx,100.00%,22.54%,truncated
GCA_900451415.1_36340_H01_genomic	KL1	Capsule null	Typeable	?2-!	99.19%	68.07%	n/a	14 / 20 (70.00%)	KL1_01_galF,99.33%,100.00%;KL1_02_cpsACP,96.65%,100.00%;KL1_03_wzi,99.58%,100.00%;KL1_04_wza,100.00%,100.00%;KL1_05_wzb,100.00%,100.00%;KL1_06_wzc,98.33%,94.23%,truncated;KL1_07_wzx,100.00%,19.58%,partial;KL1_14_wcaH,100.00%,89.47%,partial;KL1_15_wcaI,98.39%,15.84%,truncated;KL1_16_wcaJ,96.67%,12.85%,truncated;KL1_17_gnd,100.00%,3.42%,truncated;KL1_18_manC,100.00%,100.00%;KL1_19_manB,99.78%,100.00%;KL1_20_ugd,100.00%,29.64%,truncated	KL1_08_wclY;KL1_09_wzy;KL1_10_wcsS;KL1_11_wcsT;KL1_12_gmd;KL1_13_wcaG	0		0 / 20 (0.00%)		2	KL40_05_rfaG,97.89%,99.74%;KL150_19_gmd,99.40%,100.00%	KL1_06_wzc,98.33%,94.23%,truncated;KL1_15_wcaI,98.39%,15.84%,truncated;KL1_16_wcaJ,96.67%,12.85%,truncated;KL1_17_gnd,100.00%,3.42%,truncated;KL1_20_ugd,100.00%,29.64%,truncated
GCA_900451425.1_45753_B01_genomic	KL5	Capsule null	Typeable	?2!	99.01%	99.44%	n/a	19 / 19 (100.00%)	KL5_01_galF,98.99%,100.00%;KL5_02_cpsACP,90.43%,100.00%;KL5_03_wzi,99.60%,100.00%;KL5_04_wza,100.00%,100.00%;KL5_05_wzb,99.31%,100.00%;KL5_06_wzc,98.50%,82.96%,truncated;KL5_07,100.00%,100.00%;KL5_08_wzx,99.58%,100.00%;KL5_09,100.00%,100.00%;KL5_10,97.75%,69.72%,truncated;KL5_11,99.21%,69.23%,partial;KL5_12,99.36%,95.44%,partial;KL5_13,100.00%,100.00%;KL5_14,100.00%,100.00%;KL5_15_wcaJ,99.57%,100.00%;KL5_16_gnd,99.79%,100.00%;KL5_17_manC,99.58%,100.00%;KL5_18_manB,99.56%,100.00%;KL5_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,97.61%,99.21%;KL150_19_gmd,99.40%,100.00%	KL5_06_wzc,98.50%,82.96%,truncated;KL5_10,97.75%,69.72%,truncated
GCA_900451435.1_32512_E01_genomic	KL38	Capsule null	Typeable	!	99.96%	100.02%	4 bp	17 / 17 (100.00%)	KL38_01_galF,100.00%,100.00%;KL38_02_cpsACP,100.00%,100.00%;KL38_03_wzi,100.00%,100.00%;KL38_04_wza,100.00%,1.59%,truncated;KL38_05_wzb,100.00%,86.11%,truncated;KL38_06_wzc,99.86%,100.00%;KL38_07_wcaJ,100.00%,71.37%,truncated;KL38_08_wzy,99.76%,100.00%;KL38_09_wctM,100.00%,86.83%,truncated;KL38_10_wcaN,100.00%,100.00%;KL38_11_wzx,99.77%,100.00%;KL38_12_wckS,100.00%,100.00%;KL38_13_wckR,100.00%,100.00%;KL38_14,100.00%,5.43%,truncated;KL38_15,100.00%,100.00%;KL38_16_gnd,100.00%,100.00%;KL38_17_ugd,100.00%,100.00%		0		0 / 17 (0.00%)		5	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.43%,100.00%;KL43_17_manC,100.00%,100.00%;KL150_19_gmd,99.40%,100.00%;KL30_19_manB,99.35%,98.29%	KL38_04_wza,100.00%,1.59%,truncated;KL38_05_wzb,100.00%,86.11%,truncated;KL38_07_wcaJ,100.00%,71.37%,truncated;KL38_09_wctM,100.00%,86.83%,truncated;KL38_14,100.00%,5.43%,truncated;KL50_09_wzx,100.00%,22.54%,truncated
GCA_900451445.1_49923_D01_genomic	KL107	unknown (KL107)	Typeable		99.99%	100.00%	-1 bp	16 / 16 (100.00%)	KL107_01_galF,100.00%,100.00%;KL107_02_cpsACP,100.00%,100.00%;KL107_03_wzi,100.00%,100.00%;KL107_04_wza,100.00%,100.00%;KL107_05_wzb,100.00%,100.00%;KL107_06_wzc,99.86%,100.00%;KL107_07_wbaP,100.00%,100.00%;KL107_08,100.00%,100.00%;KL107_09,100.00%,100.00%;KL107_10,100.00%,100.00%;KL107_11_gnd,100.00%,100.00%;KL107_12,100.00%,100.00%;KL107_13,100.00%,100.00%;KL107_14,100.00%,100.00%;KL107_15,100.00%,100.00%;KL107_16_ugd,100.00%,100.00%		0		0 / 16 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,99.10%,100.00%	
GCA_900451455.1_45532_C02_genomic	KL1	K1	Typeable	!	99.54%	99.99%	-2 bp	20 / 20 (100.00%)	KL1_01_galF,99.33%,100.00%;KL1_02_cpsACP,96.65%,100.00%;KL1_03_wzi,99.62%,57.44%,truncated;KL1_04_wza,100.00%,100.00%;KL1_05_wzb,100.00%,100.00%;KL1_06_wzc,98.31%,100.00%;KL1_07_wzx,99.77%,100.00%;KL1_08_wclY,99.72%,100.00%;KL1_09_wzy,100.00%,100.00%;KL1_10_wcsS,99.73%,100.00%;KL1_11_wcsT,99.41%,100.00%;KL1_12_gmd,100.00%,100.00%;KL1_13_wcaG,99.42%,100.00%;KL1_14_wcaH,100.00%,100.00%;KL1_15_wcaI,99.75%,100.00%;KL1_16_wcaJ,99.36%,100.00%;KL1_17_gnd,100.00%,100.00%;KL1_18_manC,100.00%,100.00%;KL1_19_manB,99.78%,100.00%;KL1_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,97.89%,99.74%;KL150_19_gmd,99.40%,100.00%	KL1_03_wzi,99.62%,57.44%,truncated
GCA_900451465.1_31436_F01_genomic	KL148	unknown (KL148)	Untypeable	?2-!	85.71%	11.57%	n/a	3 / 19 (15.79%)	KL148_01_galF,100.00%,100.00%;KL148_15_rmlB,80.83%,67.80%,truncated,below_id_threshold;KL148_16_rmlA,76.28%,87.54%,truncated,below_id_threshold	KL148_02_cpsACP;KL148_03_wzi;KL148_04_wza;KL148_05_wzb;KL148_06_wzc;KL148_07_wcaJ;KL148_08;KL148_09_wcuP;KL148_10;KL148_11;KL148_12_wbaZ;KL148_13_wzx;KL148_14_gnd;KL148_17_rmlD;KL148_18_rmlC;KL148_19_ugd	0		0 / 19 (0.00%)		1	KL40_05_rfaG,96.09%,56.84%,truncated	KL148_15_rmlB,80.83%,67.80%,truncated,below_id_threshold;KL148_16_rmlA,76.28%,87.54%,truncated,below_id_threshold;KL40_05_rfaG,96.09%,56.84%,truncated
GCA_900451475.1_46514_E02_genomic	KL4	K4	Untypeable	+!	99.87%	98.54%	14061 bp	21 / 24 (87.50%)	KL4_01_galF,100.00%,96.75%;KL4_02_cpsACP,100.00%,100.00%;KL4_03_wcuG,99.65%,97.92%;KL4_04_HG290,100.00%,100.00%;KL4_05_HG291,100.00%,100.00%;KL4_06_wza,100.00%,100.00%;KL4_07_wzb,100.00%,100.00%;KL4_08_wzc,99.86%,100.00%;KL4_09_HG292,100.00%,100.00%;KL4_10_HG293,100.00%,100.00%;KL4_11_wzx,100.00%,100.00%;KL4_12_wcsW,100.00%,100.00%;KL4_13_HG296,100.00%,100.00%;KL4_14_wcuD,100.00%,100.00%;KL4_15_wzy,99.77%,100.00%;KL4_16_wcuI,100.00%,100.00%;KL4_17_wcuF,100.00%,100.00%;KL4_18_manC,100.00%,98.51%;KL4_19_wzi,99.60%,100.00%;KL4_20_wza,99.52%,62.73%,truncated;KL4_21_wzb,99.31%,100.00%;KL4_22_wzc,99.58%,100.00%;KL4_23_wcaJ,100.00%,100.00%;KL4_24_gnd,99.57%,100.00%		1	KL1_18_manC,99.79%,100.00%	0 / 24 (0.00%)		4	KL40_05_rfaG,97.89%,99.74%;KL13_18_manB,99.79%,100.00%;KL150_19_gmd,98.50%,100.00%;KL54_20_ugd,100.00%,100.00%	KL4_20_wza,99.52%,62.73%,truncated
GCA_900451495.1_44787_D01_genomic	KL4	K4	Untypeable	+!	99.88%	100.77%	5338 bp	21 / 24 (87.50%)	KL4_01_galF,100.00%,96.75%;KL4_02_cpsACP,100.00%,100.00%;KL4_03_wcuG,100.00%,80.06%,truncated;KL4_04_HG290,100.00%,100.00%;KL4_05_HG291,100.00%,100.00%;KL4_06_wza,100.00%,100.00%;KL4_07_wzb,100.00%,100.00%;KL4_08_wzc,99.86%,100.00%;KL4_09_HG292,100.00%,100.00%;KL4_10_HG293,100.00%,100.00%;KL4_11_wzx,100.00%,100.00%;KL4_12_wcsW,100.00%,100.00%;KL4_13_HG296,100.00%,100.00%;KL4_14_wcuD,100.00%,100.00%;KL4_15_wzy,99.77%,100.00%;KL4_16_wcuI,100.00%,100.00%;KL4_17_wcuF,100.00%,100.00%;KL4_18_manC,100.00%,98.51%;KL4_19_wzi,99.80%,100.00%;KL4_20_wza,99.52%,65.15%,truncated;KL4_21_wzb,99.31%,100.00%;KL4_22_wzc,99.30%,100.00%;KL4_23_wcaJ,100.00%,100.00%;KL4_24_gnd,99.57%,100.00%		1	KL1_18_manC,99.79%,100.00%	0 / 24 (0.00%)		4	KL40_05_rfaG,98.41%,99.47%;KL13_18_manB,99.79%,100.00%;KL150_19_gmd,98.20%,100.00%;KL54_20_ugd,100.00%,100.00%	KL4_03_wcuG,100.00%,80.06%,truncated;KL4_20_wza,99.52%,65.15%,truncated
GCA_900451505.1_49923_E01_genomic	KL2	K2	Typeable		99.82%	100.00%	1 bp	18 / 18 (100.00%)	KL2_01_galF,100.00%,100.00%;KL2_02_cpsACP,100.00%,100.00%;KL2_03_wzi,100.00%,100.00%;KL2_04_wza,100.00%,100.00%;KL2_05_wzb,100.00%,100.00%;KL2_06_wzc,99.58%,100.00%;KL2_07,99.72%,100.00%;KL2_08,100.00%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,99.79%,100.00%;KL2_12,99.31%,100.00%;KL2_13,99.55%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,99.57%,100.00%;KL2_16_manC,100.00%,100.00%;KL2_17_manB,100.00%,100.00%;KL2_18_ugd,99.74%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.15%,99.74%;KL150_19_gmd,100.00%,100.00%	
