Assembly	Best match locus	Best match type	Confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details
GCA_900451215.1_44310_G01_genomic	O1/O2v1	O1ab	Typeable		99.28%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,99.58%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbbYZ_02_wbbZ,98.88%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%	
GCA_900451235.1_36340_F02_genomic	O5	O5	Untypeable	*!	91.16%	99.90%	-14 bp	8 / 8 (100.00%)	O5_01_manC,91.08%,100.00%;O5_02_manB,92.14%,100.00%;O5_03_wzm,97.73%,100.00%;O5_04_wzt,97.13%,61.39%,truncated;O5_05_wbdD,82.39%,100.24%,below_id_threshold;O5_06_wbdA,88.71%,99.92%;O5_07_wbdB,90.91%,100.00%;O5_08_wbdC,89.20%,47.44%,truncated		0		2 / 8 (25.00%)	O5_01_manC,91.08%,100.00%;O5_02_manB,92.47%,95.63%	0		O5_04_wzt,97.13%,61.39%,truncated;O5_08_wbdC,89.20%,47.44%,truncated
GCA_900451245.1_46582_E01_genomic	O3/O3a	O3/O3a	Typeable		98.79%	100.00%	1 bp	8 / 8 (100.00%)	O3/O3a_01_manC,100.00%,100.00%;O3/O3a_02_manB,99.78%,100.00%;O3/O3a_03_wzm,98.47%,100.00%;O3/O3a_04_wzt,99.07%,100.00%;O3/O3a_05_wbdD,96.05%,100.00%;O3/O3a_06_wbdA,97.74%,100.00%;O3/O3a_07_wbdB,99.74%,100.00%;O3/O3a_08_wbdC,99.46%,100.00%		0		2 / 8 (25.00%)	O3/O3a_01_manC,99.79%,100.00%;O3/O3a_02_manB,99.78%,97.39%	0		
GCA_900451255.1_32473_E02_genomic	O5	O5	Untypeable	*!	90.74%	98.63%	-165 bp	8 / 8 (100.00%)	O5_01_manC,91.30%,100.00%;O5_02_manB,91.92%,100.00%;O5_03_wzm,97.35%,100.00%;O5_04_wzt,94.31%,100.00%;O5_05_wbdD,82.39%,100.24%,below_id_threshold;O5_06_wbdA,88.44%,50.95%,truncated;O5_07_wbdB,90.65%,100.00%;O5_08_wbdC,89.59%,85.44%,truncated		0		0 / 8 (0.00%)		1	OL104_08_wbdC,100.00%,14.56%,truncated	O5_06_wbdA,88.44%,50.95%,truncated;O5_08_wbdC,89.59%,85.44%,truncated;OL104_08_wbdC,100.00%,14.56%,truncated
GCA_900451275.1_36672_F01_genomic	O3b	O3b	Typeable	!	98.00%	100.08%	10 bp	8 / 8 (100.00%)	O3b_01_manC,98.25%,60.72%,truncated;O3b_02_manB,100.00%,21.52%,truncated;O3b_03_wzm,87.32%,54.79%,truncated;O3b_04_wzt,100.00%,51.04%,truncated;O3b_05_wbdD,99.71%,100.00%;O3b_06_wbdA,99.48%,23.21%,truncated;O3b_07_wbdB,99.48%,100.00%;O3b_08_wbdC,99.73%,100.00%		0		2 / 8 (25.00%)	O3b_01_manC,99.51%,48.62%,truncated;O3b_02_manB,99.33%,97.39%	0		O3b_01_manC,98.25%,60.72%,truncated;O3b_02_manB,100.00%,21.52%,truncated;O3b_03_wzm,87.32%,54.79%,truncated;O3b_04_wzt,100.00%,51.04%,truncated;O3b_06_wbdA,99.48%,23.21%,truncated;O3b_01_manC,99.51%,48.62%,truncated
GCA_900451285.1_52313_E01_genomic	O1/O2v2	O1ab	Typeable	!	96.37%	99.99%	-1 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.59%,100.00%;O1/O2v2_03_wbbM,100.00%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,97.64%,100.00%;O1/O2v2_06_wbbO,99.47%,100.00%;O1/O2v2_07_kfoC,99.25%,100.00%;O1/O2v2_08_gmlC,70.83%,5.14%,truncated,below_id_threshold;O1/O2v2_09_gmlB,98.77%,100.00%;O1/O2v2_10_gmlA,99.20%,100.00%		0		0 / 10 (0.00%)		4	O3/O3a_01_manC,99.58%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%	O1/O2v2_08_gmlC,70.83%,5.14%,truncated,below_id_threshold
GCA_900451315.1_44310_H01_genomic	O1/O2v1	O1ab	Typeable	!	99.44%	96.98%	-239 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,99.72%,81.96%,truncated		0		0 / 7 (0.00%)		5	O3b_01_manC,99.58%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbmVW_01_wbmV,98.92%,22.09%,truncated;Extra_genes_wbbYZ_02_wbbZ,98.88%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.86%,100.00%	O1/O2v1_07_kfoC,99.72%,81.96%,truncated;Extra_genes_wbmVW_01_wbmV,98.92%,22.09%,truncated
GCA_900451325.1_37419_B02_genomic	OL102	unknown (OL102)	Untypeable	-!	94.27%	42.42%	-4024 bp	4 / 8 (50.00%)	OL102_01_rfbB,97.13%,100.00%;OL102_02_rfbA,92.27%,67.47%,truncated;OL102_03_rfbD,91.89%,100.00%;OL102_04_rfbC,95.81%,90.76%,truncated	OL102_05_wbbL;OL102_06_rhamnan;OL102_07_wzm;OL102_08_wzt	0		0 / 8 (0.00%)		3	O8_06_wbbO,82.89%,99.20%;Extra_genes_wbbYZ_02_wbbZ,90.42%,97.03%;Extra_genes_wbbYZ_01_wbbY,92.43%,100.00%	OL102_02_rfbA,92.27%,67.47%,truncated;OL102_04_rfbC,95.81%,90.76%,truncated
GCA_900451335.1_32473_A01_genomic	OL102	unknown (OL102)	Untypeable	-!	95.08%	42.33%	-4024 bp	4 / 8 (50.00%)	OL102_01_rfbB,97.11%,99.43%;OL102_02_rfbA,95.49%,100.00%;OL102_03_rfbD,91.89%,100.00%;OL102_04_rfbC,95.83%,91.30%,truncated	OL102_05_wbbL;OL102_06_rhamnan;OL102_07_wzm;OL102_08_wzt	0		0 / 8 (0.00%)		4	O8_01_wzm,92.66%,100.00%;O8_02_wzt,95.12%,100.00%;Extra_genes_wbbYZ_01_wbbY,92.94%,11.49%,truncated;Extra_genes_wbbYZ_02_wbbZ,90.80%,97.03%	OL102_04_rfbC,95.83%,91.30%,truncated;Extra_genes_wbbYZ_01_wbbY,92.94%,11.49%,truncated
GCA_900451355.1_44787_B01_genomic	O1/O2v1	O1ab	Typeable	!	99.18%	100.00%	1818 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,12.16%,truncated;O1/O2v1_01_wzm,99.55%,87.45%,truncated;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,98.57%,100.00%;O1/O2v1_04_glf,98.18%,100.00%;O1/O2v1_05_wbbN,98.65%,100.00%;O1/O2v1_06_wbbO,99.20%,100.00%;O1/O2v1_07_kfoC,99.32%,100.00%		0		0 / 7 (0.00%)		6	O3/O3a_01_manC,98.51%,100.00%;O3b_02_manB,99.55%,97.39%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%;Extra_genes_wbmVW_02_wbmW,98.74%,97.74%;Extra_genes_wbmVW_01_wbmV,100.00%,19.24%,truncated	O1/O2v1_01_wzm,100.00%,12.16%,truncated;O1/O2v1_01_wzm,99.55%,87.45%,truncated;Extra_genes_wbmVW_01_wbmV,100.00%,19.24%,truncated
GCA_900451375.1_32473_G02_genomic	O8	O2a	Untypeable	-!	82.44%	33.82%	-2766 bp	2 / 8 (25.00%)	O8_03_wbbM,82.73%,100.00%;O8_06_wbbO,82.15%,82.23%,truncated,below_id_threshold	O8_01_wzm;O8_02_wzt;O8_04_glf;O8_05_wbbN;O8_07;O8_08	0		0 / 8 (0.00%)		0		O8_06_wbbO,82.15%,82.23%,truncated,below_id_threshold
GCA_900451385.1_45709_E01_genomic	O1/O2v1	O1ab	Typeable	!	99.28%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		0		0 / 7 (0.00%)		5	O3b_01_manC,99.58%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbbYZ_02_wbbZ,98.88%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.86%,100.00%;Extra_genes_wbmVW_01_wbmV,100.00%,19.24%,truncated	Extra_genes_wbmVW_01_wbmV,100.00%,19.24%,truncated
GCA_900451395.1_58174_C01_genomic	O1/O2v1	O2a	Typeable	!	99.24%	95.77%	894 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,0.39%,truncated;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,99.84%,100.00%;O1/O2v1_04_glf,99.48%,100.00%;O1/O2v1_05_wbbN,97.98%,100.00%;O1/O2v1_06_wbbO,97.83%,97.61%;O1/O2v1_07_kfoC,99.54%,100.00%		0		0 / 7 (0.00%)		2	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.55%,97.39%	O1/O2v1_01_wzm,100.00%,0.39%,truncated
GCA_900451405.1_31885_D02_genomic	O3b	O3b	Typeable		99.64%	100.00%	0 bp	8 / 8 (100.00%)	O3b_01_manC,99.58%,100.00%;O3b_02_manB,99.78%,100.00%;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,99.77%,100.00%;O3b_05_wbdD,99.56%,100.00%;O3b_06_wbdA,99.76%,100.00%;O3b_07_wbdB,99.48%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		4	OL13_01_rfbB,97.46%,100.00%;OL13_02_rfbA,99.31%,100.00%;OL13_03_rfbD,98.99%,100.00%;O12_04_rfbC,97.24%,98.37%	
GCA_900451415.1_36340_H01_genomic	O1/O2v1	O1ab	Typeable	+!	99.34%	98.81%	776 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,100.00%,87.40%,truncated;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		1	O1/O2v2_02_wzt,100.00%,13.41%,truncated	0 / 7 (0.00%)		5	O3b_01_manC,99.58%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbbYZ_02_wbbZ,98.88%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%;Extra_genes_wbmVW_01_wbmV,100.00%,19.24%,truncated	O1/O2v1_02_wzt,100.00%,87.40%,truncated;O1/O2v2_02_wzt,100.00%,13.41%,truncated;Extra_genes_wbmVW_01_wbmV,100.00%,19.24%,truncated
GCA_900451425.1_45753_B01_genomic	O1/O2v1	O2ac	Typeable		99.11%	100.00%	8 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,99.22%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.21%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.41%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,99.36%,100.00%;O3b_02_manB,98.66%,97.39%;Extra_genes_wbmVW_01_wbmV,99.29%,100.00%;Extra_genes_wbmVW_02_wbmW,99.38%,100.00%	
GCA_900451435.1_32512_E01_genomic	O3b	O3b	Typeable		99.66%	100.00%	0 bp	8 / 8 (100.00%)	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.57%,100.00%;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,99.77%,100.00%;O3b_05_wbdD,99.71%,100.00%;O3b_06_wbdA,99.76%,100.00%;O3b_07_wbdB,99.21%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		0		
GCA_900451445.1_49923_D01_genomic	O1/O2v2	O2afg	Typeable		99.09%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.57%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,99.47%,100.00%;O1/O2v2_07_kfoC,99.00%,100.00%;O1/O2v2_08_gmlC,97.33%,100.00%;O1/O2v2_09_gmlB,99.39%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	O12_01_rfbB,98.58%,99.72%;OL13_02_rfbA,98.27%,100.00%;OL13_03_rfbD,98.99%,100.00%;OL13_04_rfbC,98.34%,98.37%	
GCA_900451455.1_45532_C02_genomic	O1/O2v1	O1ab	Typeable		99.28%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,99.58%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbbYZ_02_wbbZ,98.88%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%	
GCA_900451465.1_31436_F01_genomic	O1/O2v1	O1a	Typeable	!	92.60%	99.80%	-14 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,9.41%,truncated;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,93.41%,15.53%,truncated;O1/O2v1_04_glf,60.00%,40.62%,truncated,below_id_threshold;O1/O2v1_05_wbbN,99.17%,41.75%,truncated;O1/O2v1_06_wbbO,96.00%,56.23%,truncated;O1/O2v1_07_kfoC,100.00%,19.41%,truncated		0		0 / 7 (0.00%)		2	Extra_genes_wbbYZ_01_wbbY,100.00%,100.14%;Extra_genes_wbbYZ_02_wbbZ,84.80%,63.20%,truncated	O1/O2v1_01_wzm,100.00%,9.41%,truncated;O1/O2v1_03_wbbM,93.41%,15.53%,truncated;O1/O2v1_04_glf,60.00%,40.62%,truncated,below_id_threshold;O1/O2v1_05_wbbN,99.17%,41.75%,truncated;O1/O2v1_06_wbbO,96.00%,56.23%,truncated;O1/O2v1_07_kfoC,100.00%,19.41%,truncated;Extra_genes_wbbYZ_02_wbbZ,84.80%,63.20%,truncated
GCA_900451475.1_46514_E02_genomic	O1/O2v1	O2ac	Typeable	!	99.40%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.19%,100.00%;O1/O2v1_03_wbbM,99.21%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,100.00%,7.99%,truncated		0		0 / 7 (0.00%)		6	O3b_01_manC,99.36%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbbYZ_01_wbbY,99.68%,85.41%,truncated;Extra_genes_wbbYZ_02_wbbZ,99.26%,100.00%;Extra_genes_wbmVW_02_wbmW,99.18%,100.00%;Extra_genes_wbmVW_01_wbmV,99.76%,100.00%	O1/O2v1_07_kfoC,100.00%,7.99%,truncated;Extra_genes_wbbYZ_01_wbbY,99.68%,85.41%,truncated
GCA_900451495.1_44787_D01_genomic	O1/O2v1	O2ac	Typeable	!	99.53%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.21%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,99.20%,100.00%;O1/O2v1_07_kfoC,100.00%,7.99%,truncated		0		0 / 7 (0.00%)		4	O3b_01_manC,99.36%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbmVW_02_wbmW,99.18%,100.00%;Extra_genes_wbmVW_01_wbmV,99.76%,100.00%	O1/O2v1_07_kfoC,100.00%,7.99%,truncated
GCA_900451505.1_49923_E01_genomic	O1/O2v1	O1ab	Typeable		99.97%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,100.00%,100.00%;O1/O2v1_04_glf,100.00%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,100.00%,100.00%;O1/O2v1_07_kfoC,99.77%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.55%,96.52%;Extra_genes_wbbYZ_02_wbbZ,100.00%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%	
GCA_900451515.1_45532_D02_genomic	O1/O2v1	O1ab	Typeable	!	99.28%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		0		0 / 7 (0.00%)		5	O3b_01_manC,99.58%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbmVW_01_wbmV,100.00%,19.24%,truncated;Extra_genes_wbbYZ_02_wbbZ,98.88%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%	Extra_genes_wbmVW_01_wbmV,100.00%,19.24%,truncated
GCA_900451525.1_31436_G01_genomic	O5	O5	Typeable	!	99.49%	100.07%	9 bp	8 / 8 (100.00%)	O5_01_manC,99.21%,28.45%,truncated;O5_02_manB,98.19%,86.90%,truncated;O5_03_wzm,100.00%,79.55%,truncated;O5_04_wzt,99.75%,100.00%;O5_05_wbdD,99.46%,86.59%,truncated;O5_06_wbdA,99.84%,54.00%,truncated;O5_07_wbdB,99.48%,100.00%;O5_08_wbdC,100.00%,32.08%,truncated		0		2 / 8 (25.00%)	O5_01_manC,100.00%,11.68%,truncated;O5_02_manB,100.00%,32.97%,truncated	1	O12_02_rfbA,88.89%,11.07%,truncated	O5_01_manC,99.21%,28.45%,truncated;O5_02_manB,98.19%,86.90%,truncated;O5_03_wzm,100.00%,79.55%,truncated;O5_05_wbdD,99.46%,86.59%,truncated;O5_06_wbdA,99.84%,54.00%,truncated;O5_08_wbdC,100.00%,32.08%,truncated;O5_01_manC,100.00%,11.68%,truncated;O5_02_manB,100.00%,32.97%,truncated;O12_02_rfbA,88.89%,11.07%,truncated
GCA_900451535.1_46514_D02_genomic	O1/O2v1	O2ac	Typeable	!	99.40%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.19%,100.00%;O1/O2v1_03_wbbM,99.21%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,100.00%,7.99%,truncated		0		0 / 7 (0.00%)		6	O3b_01_manC,99.36%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbbYZ_01_wbbY,99.68%,85.41%,truncated;Extra_genes_wbbYZ_02_wbbZ,99.26%,100.00%;Extra_genes_wbmVW_01_wbmV,99.76%,100.00%;Extra_genes_wbmVW_02_wbmW,99.18%,100.00%	O1/O2v1_07_kfoC,100.00%,7.99%,truncated;Extra_genes_wbbYZ_01_wbbY,99.68%,85.41%,truncated
GCA_900451545.1_32512_D01_genomic	O3b	O3b	Typeable		99.71%	100.00%	0 bp	8 / 8 (100.00%)	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.78%,100.00%;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,99.77%,100.00%;O3b_05_wbdD,99.42%,100.00%;O3b_06_wbdA,99.76%,100.00%;O3b_07_wbdB,99.74%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		2 / 8 (25.00%)	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.55%,95.65%	4	O12_01_rfbB,98.58%,99.72%;OL13_02_rfbA,97.54%,98.62%;OL13_03_rfbD,98.31%,100.00%;O12_04_rfbC,97.79%,98.37%	
GCA_900451555.1_45665_C01_genomic	O1/O2v1	O1ab	Typeable	!	99.28%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		0		0 / 7 (0.00%)		5	O3b_01_manC,99.58%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbmVW_01_wbmV,100.00%,18.53%,truncated;Extra_genes_wbbYZ_02_wbbZ,98.88%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.86%,100.00%	Extra_genes_wbmVW_01_wbmV,100.00%,18.53%,truncated
GCA_900451565.1_31436_E01_genomic	O1/O2v1	O2a	Typeable	!	99.53%	99.99%	-3 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.39%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,100.00%,9.03%,truncated;O1/O2v1_04_glf,99.48%,100.00%;O1/O2v1_05_wbbN,98.65%,100.00%;O1/O2v1_06_wbbO,100.00%,36.87%,truncated;O1/O2v1_07_kfoC,99.00%,92.24%,truncated		0		0 / 7 (0.00%)		3	O3b_01_manC,100.00%,15.29%,truncated;O3b_02_manB,100.00%,21.52%,truncated;Extra_genes_wbbYZ_02_wbbZ,100.00%,22.68%,truncated	O1/O2v1_03_wbbM,100.00%,9.03%,truncated;O1/O2v1_06_wbbO,100.00%,36.87%,truncated;O1/O2v1_07_kfoC,99.00%,92.24%,truncated;O3b_01_manC,100.00%,15.29%,truncated;O3b_02_manB,100.00%,21.52%,truncated;Extra_genes_wbbYZ_02_wbbZ,100.00%,22.68%,truncated
GCA_900451575.1_36734_E01_genomic	O1/O2v1	O1a	Typeable	!	99.08%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,97.92%,100.00%;O1/O2v1_05_wbbN,97.31%,100.00%;O1/O2v1_06_wbbO,99.20%,100.00%;O1/O2v1_07_kfoC,99.77%,100.00%		0		0 / 7 (0.00%)		8	O3b_01_manC,100.00%,100.00%;O12_01_rfbB,98.02%,100.00%;O3b_02_manB,99.77%,95.65%;OL13_02_rfbA,97.54%,98.62%;OL13_03_rfbD,98.65%,100.00%;OL13_04_rfbC,96.69%,98.37%;Extra_genes_wbbYZ_02_wbbZ,94.58%,65.43%,truncated;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%	Extra_genes_wbbYZ_02_wbbZ,94.58%,65.43%,truncated
GCA_900451585.1_32868_D02_genomic	O1/O2v1	O2a	Typeable	!	99.76%	100.10%	1203 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,7.45%,truncated;O1/O2v1_02_wzt,98.06%,44.31%,truncated;O1/O2v1_03_wbbM,100.00%,1.90%,truncated;O1/O2v1_04_glf,100.00%,100.00%;O1/O2v1_05_wbbN,100.00%,6.73%,truncated;O1/O2v1_06_wbbO,100.00%,10.88%,truncated;O1/O2v1_06_wbbO,100.00%,89.39%,truncated;O1/O2v1_07_kfoC,100.00%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,100.00%,9.98%,truncated;O3b_02_manB,99.46%,40.22%,truncated;Extra_genes_wbbYZ_01_wbbY,98.52%,37.70%,truncated;Extra_genes_wbbYZ_02_wbbZ,100.00%,8.55%,truncated	O1/O2v1_01_wzm,100.00%,7.45%,truncated;O1/O2v1_02_wzt,98.06%,44.31%,truncated;O1/O2v1_03_wbbM,100.00%,1.90%,truncated;O1/O2v1_05_wbbN,100.00%,6.73%,truncated;O1/O2v1_06_wbbO,100.00%,10.88%,truncated;O1/O2v1_06_wbbO,100.00%,89.39%,truncated;O3b_01_manC,100.00%,9.98%,truncated;O3b_02_manB,99.46%,40.22%,truncated;Extra_genes_wbbYZ_01_wbbY,98.52%,37.70%,truncated;Extra_genes_wbbYZ_02_wbbZ,100.00%,8.55%,truncated
GCA_900451595.1_45709_D01_genomic	O1/O2v1	O1ab	Typeable		99.28%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,99.58%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbbYZ_02_wbbZ,98.88%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.86%,100.00%	
GCA_900451605.1_45665_A01_genomic	O1/O2v1	O1ab	Typeable	!	99.28%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.70%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.67%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		0		0 / 7 (0.00%)		5	O3b_01_manC,99.58%,100.00%;O5_02_manB,99.33%,97.60%;Extra_genes_wbmVW_01_wbmV,100.00%,19.24%,truncated;Extra_genes_wbbYZ_01_wbbY,99.86%,100.00%;Extra_genes_wbbYZ_02_wbbZ,98.88%,100.00%	Extra_genes_wbmVW_01_wbmV,100.00%,19.24%,truncated
